GEOID,pop_total,hhinc_total_hh,hhinc_lt10k,hhinc_10_15k,hhinc_15_20k,hhinc_20_25k,hhinc_25_30k,hhinc_30_35k,hhinc_35_40k,hhinc_40_45k,hhinc_45_50k,hhinc_50_60k,hhinc_60_75k,hhinc_75_100k,hhinc_100_125k,hhinc_125_150k,hhinc_150_200k,hhinc_200k_plus,rent_total_units,rent_lt100,rent_100_149,rent_150_199,rent_200_249,rent_250_299,rent_300_349,rent_350_399,rent_400_449,rent_450_499,rent_500_549,rent_550_599,rent_600_649,rent_650_699,rent_700_749,rent_750_799,rent_800_899,rent_900_999,rent_1000_1249,rent_1250_1499,rent_1500_1999,rent_2000_2499,rent_2500_2999,rent_3000_3499,rent_3500_plus,tenure_total,tenure_owner,tenure_renter
245101001004,518,217,46,19,7,51,30,7,24,0,0,11,5,0,10,7,0,0,102,0,0,0,6,0,0,4,0,0,0,0,0,10,0,32,10,15,25,0,0,0,0,0,0,217,115,102
245102606056,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3
245100808001,282,100,30,0,6,0,15,7,29,0,0,0,7,0,6,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,38,28,16,6,0,0,0,100,5,95
245100801021,811,264,24,29,21,19,24,5,13,24,0,28,43,11,23,0,0,0,116,0,0,10,0,0,0,18,0,0,0,7,0,0,0,21,0,0,16,37,0,0,0,0,0,264,148,116
245100802002,423,187,75,6,19,11,5,1,18,8,0,22,0,22,0,0,0,0,162,0,0,0,0,0,0,0,11,19,14,0,0,18,0,0,16,28,25,31,0,0,0,0,0,187,25,162
245100802001,518,166,18,0,0,6,19,9,23,6,0,23,14,32,16,0,0,0,67,0,0,0,0,0,0,1,0,0,17,18,0,0,0,0,0,6,0,9,10,0,0,0,0,166,99,67
245100806004,653,248,51,21,14,16,20,15,4,10,33,0,27,23,4,10,0,0,153,13,46,0,0,0,0,0,9,0,7,8,0,0,0,0,20,11,19,15,5,0,0,0,0,248,95,153
245100806001,553,229,57,37,12,6,24,11,0,5,0,23,0,35,0,0,14,5,121,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,11,7,41,13,6,20,0,0,0,229,108,121
245100806002,622,208,39,26,5,0,16,0,9,8,55,8,10,12,9,11,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,9,32,6,5,0,0,0,0,208,134,74
245100904002,658,259,57,8,45,5,17,54,30,6,5,12,20,0,0,0,0,0,240,0,0,0,9,8,0,0,12,8,0,0,0,0,34,14,83,31,26,0,0,0,0,0,0,259,19,240
245100907001,1087,325,27,12,21,78,21,13,0,63,27,28,30,5,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,23,0,57,12,10,0,0,0,0,325,210,115
245100907003,764,355,47,18,83,52,19,8,0,10,0,18,25,64,11,0,0,0,132,0,0,0,0,8,0,0,0,0,0,0,0,6,13,0,12,13,40,40,0,0,0,0,0,355,223,132
245100907002,490,194,52,13,34,41,0,0,39,7,0,0,8,0,0,0,0,0,155,0,0,0,10,0,0,0,0,0,0,41,0,34,0,0,0,0,18,39,0,0,0,0,0,194,39,155
