GEOID,pop_total,edu_total_25plus,edu_bachelors,edu_masters,edu_professional,edu_doctorate,hhinc_total_hh,hhinc_lt10k,hhinc_10_15k,hhinc_15_20k,hhinc_20_25k,hhinc_25_30k,hhinc_30_35k,hhinc_35_40k,hhinc_40_45k,hhinc_45_50k,hhinc_50_60k,hhinc_60_75k,hhinc_75_100k,hhinc_100_125k,hhinc_125_150k,hhinc_150_200k,hhinc_200k_plus,rent_total_units,rent_lt100,rent_100_149,rent_150_199,rent_200_249,rent_250_299,rent_300_349,rent_350_399,rent_400_449,rent_450_499,rent_500_549,rent_550_599,rent_600_649,rent_650_699,rent_700_749,rent_750_799,rent_800_899,rent_900_999,rent_1000_1249,rent_1250_1499,rent_1500_1999,rent_2000_2499,rent_2500_2999,rent_3000_3499,rent_3500_plus,homeval_total_units,homeval_lt10k,homeval_10_15k,homeval_15_20k,homeval_20_25k,homeval_25_30k,homeval_30_35k,homeval_35_40k,homeval_40_50k,homeval_50_60k,homeval_60_70k,homeval_70_80k,homeval_80_90k,homeval_90_100k,homeval_100_125k,homeval_125_150k,homeval_150_175k,homeval_175_200k,homeval_200_250k,homeval_250_300k,homeval_300_400k,homeval_400_500k,homeval_500_750k,homeval_750k_1m,homeval_1m_1500k,homeval_1500k_2m,homeval_2m_plus,tenure_total,tenure_owner,tenure_renter,housing_total_units,housing_occupied,housing_vacant,vacant_for_rent,vacant_rented_not_occ,vacant_for_sale,vacant_sold_not_occ,vacant_seasonal,vacant_migrant,vacant_other
245102502055,745,420,107,56,0,0,323,8,18,26,7,8,22,65,12,0,19,9,83,38,0,0,8,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,137,127,10,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,8,0,0,5,8,0,12,0,0,0,0,0,0,0,0,0,0,323,33,290,402,323,79,0,0,20,20,0,0,39
245102805002,534,355,7,0,0,0,85,10,24,26,0,9,0,16,0,0,0,0,0,0,0,0,0,85,0,0,4,0,0,0,0,5,6,0,9,6,0,24,0,16,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,85,85,85,0,0,0,0,0,0,0,0
245102001002,1123,765,45,18,2,0,427,128,30,7,19,13,80,14,35,24,15,16,39,0,0,0,7,301,0,0,0,18,0,0,0,0,0,0,0,0,18,0,6,36,24,82,28,33,21,0,0,0,126,0,0,0,6,0,0,0,34,31,13,4,7,6,7,0,8,0,0,0,0,0,10,0,0,0,0,427,126,301,632,427,205,0,13,13,64,0,0,115
245101510005,1291,898,169,21,0,0,440,47,0,21,14,0,31,0,33,68,41,30,110,6,27,0,12,284,30,0,0,0,0,0,0,0,0,0,29,0,28,0,0,12,79,93,13,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,43,21,0,81,0,0,0,0,0,0,0,440,156,284,644,440,204,17,0,50,26,0,0,111
245101510007,792,518,31,24,0,8,264,59,25,21,0,0,23,0,12,13,22,42,37,0,0,0,10,130,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,13,8,55,33,0,0,0,0,134,0,14,10,13,0,0,0,0,0,0,0,10,12,0,7,24,0,22,8,14,0,0,0,0,0,0,264,134,130,264,264,0,0,0,0,0,0,0,0
245101512004,420,341,10,0,0,0,250,80,36,15,55,0,10,0,0,0,27,7,20,0,0,0,0,152,0,0,11,7,23,60,0,0,0,9,0,0,0,0,6,0,20,0,0,7,0,0,0,0,98,0,0,0,0,0,0,0,0,8,38,0,9,11,12,10,10,0,0,0,0,0,0,0,0,0,0,250,98,152,341,250,91,0,0,0,0,0,0,91
245101601003,998,820,26,0,0,0,432,136,53,39,0,41,42,8,7,49,0,0,0,51,0,6,0,341,0,0,0,82,26,16,54,0,10,8,0,0,4,53,4,6,0,29,49,0,0,0,0,0,91,0,0,0,0,0,18,0,0,0,16,8,40,0,9,0,0,0,0,0,0,0,0,0,0,0,0,432,91,341,717,432,285,33,38,39,0,0,0,175
245101601004,566,504,46,36,0,0,306,56,33,0,21,24,43,23,21,0,19,30,0,0,21,15,0,196,0,0,0,20,0,0,0,0,0,9,0,21,0,42,0,22,8,47,0,0,0,0,0,0,110,0,0,16,0,0,0,0,0,0,0,0,19,15,24,0,0,0,26,0,0,0,10,0,0,0,0,306,110,196,523,306,217,19,0,59,0,0,0,139
245100702003,893,476,25,12,0,0,235,46,0,11,63,25,21,0,16,0,13,0,0,40,0,0,0,158,0,0,0,0,0,23,0,0,0,0,0,0,0,27,0,0,10,58,13,27,0,0,0,0,77,0,0,2,0,0,0,15,19,25,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,235,77,158,343,235,108,49,0,16,0,0,0,43
245101504002,980,681,72,10,0,0,352,30,19,25,47,24,35,10,25,54,9,65,0,9,0,0,0,290,0,0,0,0,11,0,0,25,0,0,24,0,0,0,0,28,78,74,0,50,0,0,0,0,62,0,0,0,9,10,0,0,0,24,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,62,290,653,352,301,37,0,0,0,0,0,264
