GEOID,pop_total,male_18_19,male_20,male_21,male_22_24,male_25_29,male_30_34,female_18_19,female_20,female_21,female_22_24,female_25_29,female_30_34,male_35_39,male_40_44,male_45_49,male_50_54,male_55_59,male_60_61,male_62_64,female_35_39,female_40_44,female_45_49,female_50_54,female_55_59,female_60_61,female_62_64,male_65_66,male_67_69,male_70_74,male_75_79,male_80_84,male_85plus,female_65_66,female_67_69,female_70_74,female_75_79,female_80_84,female_85plus,edu_total_25plus,edu_bachelors,edu_masters,edu_professional,edu_doctorate,hhinc_total_hh,hhinc_lt10k,hhinc_10_15k,hhinc_15_20k,hhinc_20_25k,hhinc_25_30k,hhinc_30_35k,hhinc_35_40k,hhinc_40_45k,hhinc_45_50k,hhinc_50_60k,hhinc_60_75k,hhinc_75_100k,hhinc_100_125k,hhinc_125_150k,hhinc_150_200k,hhinc_200k_plus,rent_total_units,rent_lt100,rent_100_149,rent_150_199,rent_200_249,rent_250_299,rent_300_349,rent_350_399,rent_400_449,rent_450_499,rent_500_549,rent_550_599,rent_600_649,rent_650_699,rent_700_749,rent_750_799,rent_800_899,rent_900_999,rent_1000_1249,rent_1250_1499,rent_1500_1999,rent_2000_2499,rent_2500_2999,rent_3000_3499,rent_3500_plus,homeval_total_units,homeval_lt10k,homeval_10_15k,homeval_15_20k,homeval_20_25k,homeval_25_30k,homeval_30_35k,homeval_35_40k,homeval_40_50k,homeval_50_60k,homeval_60_70k,homeval_70_80k,homeval_80_90k,homeval_90_100k,homeval_100_125k,homeval_125_150k,homeval_150_175k,homeval_175_200k,homeval_200_250k,homeval_250_300k,homeval_300_400k,homeval_400_500k,homeval_500_750k,homeval_750k_1m,homeval_1m_1500k,homeval_1500k_2m,homeval_2m_plus,tenure_total,tenure_owner,tenure_renter,housing_total_units,housing_occupied,housing_vacant,vacant_for_rent,vacant_rented_not_occ,vacant_for_sale,vacant_sold_not_occ,vacant_seasonal,vacant_migrant,vacant_other,avg_hh_size,yrbuilt_total,yrbuilt_owner_2014plus,yrbuilt_owner_2010_13,yrbuilt_owner_2000_09,yrbuilt_owner_1990_99,yrbuilt_owner_1980_89,yrbuilt_owner_1970_79,yrbuilt_owner_1960_69,yrbuilt_owner_1950_59,yrbuilt_owner_1940_49,yrbuilt_owner_pre1940,yrbuilt_renter_2014plus,yrbuilt_renter_2010_13,yrbuilt_renter_2000_09,yrbuilt_renter_1990_99,yrbuilt_renter_1980_89,yrbuilt_renter_1970_79,yrbuilt_renter_1960_69,yrbuilt_renter_1950_59,yrbuilt_renter_1940_49,yrbuilt_renter_pre1940,commute_total,commute_drive_alone,commute_carpool,commute_transit,commute_walk,commute_wfh,mobility_total,mobility_same_house,mobility_moved_same_county,mobility_moved_diff_county,mobility_moved_diff_state,mobility_moved_abroad,poverty_total_denom,poverty_below
245102708051,910,0,13,0,0,0,16,10,0,0,0,60,0,36,11,43,85,0,0,13,24,30,87,15,80,10,3,3,0,0,8,9,0,0,13,83,0,43,25,697,94,32,8,0,394,19,10,0,0,0,23,10,19,0,60,34,81,44,43,43,8,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,351,9,0,0,0,0,0,0,0,0,0,0,0,0,52,39,63,15,130,25,18,0,0,0,0,0,0,394,351,43,394,394,0,0,0,0,0,0,0,0,2.29,394,351,0,0,0,0,0,10,39,206,11,85,43,0,0,0,0,0,0,0,0,496,315,23,22,0,97,,,,,,,,
245102708052,560,0,0,0,9,0,0,0,0,0,9,0,27,0,27,20,45,43,28,12,29,17,0,29,42,10,24,0,9,10,24,0,0,0,20,22,11,0,11,460,98,11,0,20,338,23,17,0,0,0,0,43,43,0,125,24,0,0,14,38,11,114,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,19,0,45,27,0,0,0,224,13,0,0,0,0,0,0,0,0,10,0,0,11,61,24,61,0,15,29,0,0,0,0,0,0,0,338,224,114,379,338,41,22,0,0,0,0,0,19,1.66,338,224,0,0,0,0,0,0,0,145,50,29,114,0,0,0,0,19,14,27,31,280,165,14,73,0,28,,,,,,,,
245102708053,917,0,10,43,0,41,39,0,0,28,0,89,0,42,10,4,0,44,11,12,106,65,0,33,72,0,0,0,18,13,0,0,0,24,3,8,0,0,9,643,44,43,0,0,380,14,0,0,9,42,40,8,26,0,0,43,109,67,0,11,11,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,78,29,44,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,11,54,0,33,0,41,48,0,0,0,0,0,0,0,380,187,193,403,380,23,23,0,0,0,0,0,0,2.35,380,187,0,0,0,0,0,0,20,78,49,40,193,0,0,0,29,0,0,0,52,513,288,74,75,0,76,,,,,,,,
245102708054,1166,0,0,22,22,163,18,0,0,20,0,78,11,41,12,88,13,0,0,12,53,53,13,131,37,0,0,9,0,0,0,0,0,13,0,10,56,9,0,820,89,85,13,48,394,31,0,0,0,0,9,8,21,0,60,72,116,0,13,11,53,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,37,37,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,9,0,15,84,57,27,12,51,11,0,0,0,0,0,0,394,266,128,441,394,47,0,0,0,0,0,0,47,2.96,394,266,0,0,0,0,0,0,0,104,91,71,128,0,0,0,0,0,0,0,74,739,380,263,12,21,22,,,,,,,,
245102708055,1793,151,0,0,21,27,0,0,0,0,2,33,25,20,0,193,25,17,0,12,49,256,270,97,61,10,30,10,0,21,7,31,7,0,140,58,36,0,9,1444,105,88,28,74,507,20,43,0,21,0,11,19,7,0,9,54,31,197,15,36,44,106,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,11,15,21,9,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,12,34,176,58,23,19,30,32,9,0,0,8,0,0,507,401,106,527,507,20,0,0,20,0,0,0,0,3.54,507,401,0,0,0,0,12,9,133,80,50,117,106,0,0,0,0,3,11,0,36,974,264,33,447,156,63,,,,,,,,
245102709011,519,5,0,0,0,14,35,13,30,66,0,39,0,16,0,0,18,0,13,0,16,0,20,30,15,26,44,15,0,0,0,0,0,0,14,12,0,13,0,340,13,78,0,15,205,0,31,0,0,0,0,0,0,10,18,16,70,12,35,0,13,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,26,13,0,0,0,136,0,0,0,13,0,0,0,0,0,0,0,0,0,13,12,0,18,80,0,0,0,0,0,0,0,0,205,136,69,205,205,0,0,0,0,0,0,0,0,2.38,205,136,0,0,0,0,0,0,19,31,86,0,69,0,0,0,30,0,13,0,0,327,142,20,56,0,93,,,,,,,,
245102709012,1102,0,0,0,34,0,0,0,0,0,0,0,73,0,38,0,40,28,0,0,15,133,19,29,29,40,128,0,12,0,84,0,18,28,33,24,13,14,0,798,55,12,0,0,405,15,0,0,111,20,12,24,15,0,0,54,14,60,40,40,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,11,0,0,0,0,0,0,0,0,13,0,0,5,55,142,0,52,84,0,13,0,0,0,0,0,0,405,375,30,405,405,0,0,0,0,0,0,0,0,2.72,405,375,0,0,0,0,0,0,13,180,154,28,30,0,0,0,0,0,0,0,0,467,356,19,29,0,29,,,,,,,,
245102709013,2141,0,0,0,56,19,16,36,0,0,96,197,85,32,15,148,51,110,18,0,106,57,54,104,35,19,14,0,0,0,37,57,9,13,0,133,33,89,14,1465,100,168,11,0,1063,76,49,0,14,0,19,89,85,56,287,159,92,25,13,82,17,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,410,60,51,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,35,58,41,47,70,0,52,0,0,0,0,0,0,1063,303,760,1170,1063,107,8,0,23,0,0,0,76,2.01,1063,303,0,0,0,0,16,13,31,140,89,14,760,0,0,0,15,87,279,95,67,1053,660,54,230,0,60,,,,,,,,
245102709021,1604,107,79,5,41,105,75,48,19,4,0,15,98,4,37,33,0,40,12,0,32,14,43,49,0,8,15,12,0,34,17,6,8,99,55,39,42,11,28,931,280,88,0,5,458,13,18,0,6,0,0,0,1,0,14,187,22,58,99,24,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,1,0,0,0,6,0,0,0,0,0,64,110,35,95,110,0,0,0,29,0,0,0,458,450,8,517,458,59,29,0,30,0,0,0,0,2.96,458,450,0,0,29,1,0,12,47,245,18,98,8,0,0,0,0,0,0,0,6,662,458,115,26,28,35,,,,,,,,
245102709022,1197,39,34,78,43,77,22,201,28,116,58,21,35,77,0,0,19,0,17,33,0,0,27,0,38,0,0,0,0,6,0,0,0,14,57,37,0,0,8,488,137,49,0,16,296,72,0,22,0,11,20,0,0,40,0,31,67,0,22,0,11,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,20,16,0,0,0,164,0,24,0,0,0,0,0,14,0,0,0,0,0,8,40,0,62,6,0,0,0,0,10,0,0,0,296,164,132,335,296,39,0,0,11,28,0,0,0,2.19,296,164,0,0,0,0,0,0,0,51,113,0,132,0,0,0,54,20,0,22,20,588,392,78,35,40,43,,,,,,,,
