Metric,Value
NSA ID,14
NSA Name,Pigtown
Total Population,"5,843"
Median HH Income ($),"$57,710"
% HH Income Below $50k,45.3%
% HH Income $50k–$100k,22.6%
% HH Income $100k+,32.1%
Median Gross Rent ($/mo),"$1,444"
% Renter-Occupied,60.1%
Population Change (%),-13.0%
Pop Density (per km²),6908.9
% Age 18–34,40.7%
% Age 35–64,33.9%
% Age 65+,9.9%
% Bachelor's or Higher,46.7%
Avg Household Size,2.0
% Drive Alone,53.3%
% Public Transit,9.6%
% Walk,10.4%
% Work from Home,18.2%
Median Home Value ($),"$228,742"
Vacancy Rate (%),13.4%
% Vacant — For Rent,3.7%
% Vacant — For Sale,1.6%
% Vacant — Other/Distressed,8.1%
% Owner-Occupied,39.9%
% Units Built Pre-1950,15.9%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"6,714"
Population Change (abs),-871
Pop Change vs City Avg (pp),-18.5%
Prior Income (CPI-adj $),"$57,310"
"Income Change (%, inflation-adj)",0.7%
Income Change vs City Avg (pp),-7.4%
Prior Median Rent ($/mo),"$1,336"
Rent Change (%),8.1%
Rent Change vs City Avg (pp),-13.5%
Prior Median Home Value ($),172469.89642155945
Home Value Change (%),32.6%
Home Value Change vs City Avg (pp),1.3%
Prior Vacancy Rate (%),18.5%
Vacancy Rate Change (pp),-5.1%
Vacancy Change vs City Avg (pp),0.1%
Prior % Bachelor's+,37.5%
Education Change (pp),9.2%
Education Change vs City Avg (pp),7.3%
Market Signals,No strong signals
