Metric,Value
NSA ID,2
NSA Name,Pimlico Good Neighbors
Total Population,"6,717"
Median HH Income ($),"$37,985"
% HH Income Below $50k,55.1%
% HH Income $50k–$100k,23.8%
% HH Income $100k+,21.1%
Median Gross Rent ($/mo),"$1,165"
% Renter-Occupied,47.7%
Population Change (%),19.3%
Pop Density (per km²),8770.9
% Age 18–34,15.7%
% Age 35–64,34.8%
% Age 65+,24.0%
% Bachelor's or Higher,18.5%
Avg Household Size,2.5
% Drive Alone,69.1%
% Public Transit,7.5%
% Walk,6.5%
% Work from Home,5.2%
Median Home Value ($),"$182,623"
Vacancy Rate (%),23.2%
% Vacant — For Rent,0.4%
% Vacant — For Sale,0.4%
% Vacant — Other/Distressed,22.5%
% Owner-Occupied,52.3%
% Units Built Pre-1950,47.8%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"5,631"
Population Change (abs),"1,085"
Pop Change vs City Avg (pp),13.8%
Prior Income (CPI-adj $),"$37,760"
"Income Change (%, inflation-adj)",0.6%
Income Change vs City Avg (pp),-7.5%
Prior Median Rent ($/mo),"$1,037"
Rent Change (%),12.3%
Rent Change vs City Avg (pp),-9.3%
Prior Median Home Value ($),96249.96605186531
Home Value Change (%),89.7%
Home Value Change vs City Avg (pp),58.4%
Prior Vacancy Rate (%),30.8%
Vacancy Rate Change (pp),-7.6%
Vacancy Change vs City Avg (pp),-2.4%
Prior % Bachelor's+,14.7%
Education Change (pp),3.8%
Education Change vs City Avg (pp),1.9%
Market Signals,Home value appreciation outpacing city
