Metric,Value
NSA ID,57
NSA Name,Allendale
Total Population,"3,798"
Median HH Income ($),"$47,870"
Median Gross Rent ($/mo),$963
% Renter-Occupied,45.0%
Population Change (%),-8.6%
Pop Density (per km²),3419.8
% Age 18–34,19.9%
% Age 35–64,41.7%
% Age 65+,18.6%
% Bachelor's or Higher,12.2%
Avg Household Size,2.4
% Drive Alone,59.7%
% Public Transit,22.3%
% Walk,2.6%
% Work from Home,7.2%
Median Home Value ($),"$117,577"
Vacancy Rate (%),16.4%
% Owner-Occupied,55.0%
% Units Built Pre-1950,30.7%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"4,156"
Population Change (abs),-358
Prior Income (CPI-adj $),"$42,039"
"Income Change (%, inflation-adj)",13.9%
Prior Median Rent ($/mo),$876
Rent Change (%),9.9%
