Metric,Value
NSA ID,181
NSA Name,Mid-Town Belvedere
Total Population,"4,082"
Median HH Income ($),"$62,615"
Median Gross Rent ($/mo),"$1,423"
% Renter-Occupied,83.4%
Population Change (%),49.8%
Pop Density (per km²),7134.6
% Age 18–34,44.8%
% Age 35–64,42.1%
% Age 65+,7.7%
% Bachelor's or Higher,73.7%
Avg Household Size,1.4
% Drive Alone,36.9%
% Public Transit,14.5%
% Walk,16.3%
% Work from Home,23.9%
Median Home Value ($),"$166,953"
Vacancy Rate (%),8.1%
% Owner-Occupied,16.6%
% Units Built Pre-1950,14.2%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"2,724"
Population Change (abs),"1,357"
Prior Income (CPI-adj $),"$55,035"
"Income Change (%, inflation-adj)",13.8%
Prior Median Rent ($/mo),"$1,291"
Rent Change (%),10.3%
