Metric,Value
NSA ID,250
NSA Name,Westgate
Total Population,"2,223"
Median HH Income ($),"$57,457"
Median Gross Rent ($/mo),"$1,301"
% Renter-Occupied,53.5%
Population Change (%),-31.2%
Pop Density (per km²),2579.6
% Age 18–34,21.5%
% Age 35–64,41.7%
% Age 65+,17.2%
% Bachelor's or Higher,35.5%
Avg Household Size,2.1
% Drive Alone,64.9%
% Public Transit,5.3%
% Walk,0.0%
% Work from Home,19.8%
Median Home Value ($),"$281,638"
Vacancy Rate (%),4.9%
% Owner-Occupied,46.5%
% Units Built Pre-1950,35.0%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"3,230"
Population Change (abs),"-1,007"
Prior Income (CPI-adj $),"$73,570"
"Income Change (%, inflation-adj)",-21.9%
Prior Median Rent ($/mo),"$1,062"
Rent Change (%),22.5%
