Metric,Value
NSA ID,132
NSA Name,Glen Oaks
Total Population,"3,047"
Median HH Income ($),"$63,346"
Median Gross Rent ($/mo),"$1,344"
% Renter-Occupied,48.0%
Population Change (%),-5.7%
Pop Density (per km²),4367.9
% Age 18–34,24.6%
% Age 35–64,41.4%
% Age 65+,7.4%
% Bachelor's or Higher,23.9%
Avg Household Size,2.6
% Drive Alone,68.9%
% Public Transit,1.3%
% Walk,0.3%
% Work from Home,22.4%
Median Home Value ($),"$183,739"
Vacancy Rate (%),9.0%
% Owner-Occupied,52.0%
% Units Built Pre-1950,53.8%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"3,229"
Population Change (abs),-182
Prior Income (CPI-adj $),"$60,182"
"Income Change (%, inflation-adj)",5.3%
Prior Median Rent ($/mo),$972
Rent Change (%),38.3%
