Metric,Value
NSA ID,18
NSA Name,O'Donnell Heights
Total Population,837
Median HH Income ($),"$23,380"
% HH Income Below $50k,73.6%
% HH Income $50k–$100k,26.3%
% HH Income $100k+,0.1%
Median Gross Rent ($/mo),$779
% Renter-Occupied,87.1%
Population Change (%),-10.8%
Pop Density (per km²),2027.9
% Age 18–34,37.2%
% Age 35–64,20.1%
% Age 65+,6.3%
% Bachelor's or Higher,3.0%
Avg Household Size,2.4
% Drive Alone,44.4%
% Public Transit,13.7%
% Walk,0.1%
% Work from Home,0.0%
Median Home Value ($),"$109,107"
Vacancy Rate (%),14.8%
% Vacant — For Rent,0.1%
% Vacant — For Sale,0.2%
% Vacant — Other/Distressed,14.5%
% Owner-Occupied,12.9%
% Units Built Pre-1950,56.2%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,938
Population Change (abs),-101
Pop Change vs City Avg (pp),-763.8%
Prior Income (CPI-adj $),"$23,830"
"Income Change (%, inflation-adj)",-1.9%
Income Change vs City Avg (pp),-12.2%
Prior Median Rent ($/mo),$321
Rent Change (%),143.0%
Rent Change vs City Avg (pp),117.1%
Prior Median Home Value ($),81706.09628253797
Home Value Change (%),33.5%
Home Value Change vs City Avg (pp),-4.6%
Prior Vacancy Rate (%),17.0%
Vacancy Rate Change (pp),-2.2%
Vacancy Change vs City Avg (pp),2.0%
Prior % Bachelor's+,16.8%
Education Change (pp),-13.8%
Education Change vs City Avg (pp),-16.7%
Market Signals,Affordability stress — rents outpacing incomes
