Metric,Value
NSA ID,81
NSA Name,Cameron Village
Total Population,"1,020"
Median HH Income ($),"$55,490"
Median Gross Rent ($/mo),"$1,305"
% Renter-Occupied,39.9%
Population Change (%),-34.0%
Pop Density (per km²),3790.9
% Age 18–34,16.7%
% Age 35–64,51.5%
% Age 65+,14.2%
% Bachelor's or Higher,22.0%
Avg Household Size,1.9
% Drive Alone,57.6%
% Public Transit,20.6%
% Walk,0.0%
% Work from Home,12.3%
Median Home Value ($),"$152,380"
Vacancy Rate (%),9.1%
% Owner-Occupied,60.1%
% Units Built Pre-1950,64.8%
% Moved in Past Year,N/A
Poverty Rate (%),N/A
Prior Period Population,"1,544"
Population Change (abs),-524
Prior Income (CPI-adj $),"$42,059"
"Income Change (%, inflation-adj)",31.9%
Prior Median Rent ($/mo),$881
Rent Change (%),48.2%
