OBJECTID,pop_total,male_18_19,male_20,male_21,male_22_24,male_25_29,male_30_34,female_18_19,female_20,female_21,female_22_24,female_25_29,female_30_34,male_35_39,male_40_44,male_45_49,male_50_54,male_55_59,male_60_61,male_62_64,female_35_39,female_40_44,female_45_49,female_50_54,female_55_59,female_60_61,female_62_64,male_65_66,male_67_69,male_70_74,male_75_79,male_80_84,male_85plus,female_65_66,female_67_69,female_70_74,female_75_79,female_80_84,female_85plus,edu_total_25plus,edu_bachelors,edu_masters,edu_professional,edu_doctorate,hhinc_total_hh,hhinc_lt10k,hhinc_10_15k,hhinc_15_20k,hhinc_20_25k,hhinc_25_30k,hhinc_30_35k,hhinc_35_40k,hhinc_40_45k,hhinc_45_50k,hhinc_50_60k,hhinc_60_75k,hhinc_75_100k,hhinc_100_125k,hhinc_125_150k,hhinc_150_200k,hhinc_200k_plus,rent_total_units,rent_lt100,rent_100_149,rent_150_199,rent_200_249,rent_250_299,rent_300_349,rent_350_399,rent_400_449,rent_450_499,rent_500_549,rent_550_599,rent_600_649,rent_650_699,rent_700_749,rent_750_799,rent_800_899,rent_900_999,rent_1000_1249,rent_1250_1499,rent_1500_1999,rent_2000_2499,rent_2500_2999,rent_3000_3499,rent_3500_plus,homeval_total_units,homeval_lt10k,homeval_10_15k,homeval_15_20k,homeval_20_25k,homeval_25_30k,homeval_30_35k,homeval_35_40k,homeval_40_50k,homeval_50_60k,homeval_60_70k,homeval_70_80k,homeval_80_90k,homeval_90_100k,homeval_100_125k,homeval_125_150k,homeval_150_175k,homeval_175_200k,homeval_200_250k,homeval_250_300k,homeval_300_400k,homeval_400_500k,homeval_500_750k,homeval_750k_1m,homeval_1m_1500k,homeval_1500k_2m,homeval_2m_plus,tenure_total,tenure_owner,tenure_renter,housing_total_units,housing_occupied,housing_vacant,vacant_for_rent,vacant_rented_not_occ,vacant_for_sale,vacant_sold_not_occ,vacant_seasonal,vacant_migrant,vacant_other,yrbuilt_total,yrbuilt_owner_2014plus,yrbuilt_owner_2010_13,yrbuilt_owner_2000_09,yrbuilt_owner_1990_99,yrbuilt_owner_1980_89,yrbuilt_owner_1970_79,yrbuilt_owner_1960_69,yrbuilt_owner_1950_59,yrbuilt_owner_1940_49,yrbuilt_owner_pre1940,yrbuilt_renter_2014plus,yrbuilt_renter_2010_13,yrbuilt_renter_2000_09,yrbuilt_renter_1990_99,yrbuilt_renter_1980_89,yrbuilt_renter_1970_79,yrbuilt_renter_1960_69,yrbuilt_renter_1950_59,yrbuilt_renter_1940_49,yrbuilt_renter_pre1940,commute_total,commute_drive_alone,commute_carpool,commute_transit,commute_walk,commute_wfh,mobility_total,mobility_same_house,mobility_moved_same_county,mobility_moved_diff_county,mobility_moved_diff_state,mobility_moved_abroad,poverty_total_denom,poverty_below,pop_in_nsa,wtd_avg_hh_size
1,4394.464134926955,0.0,0.0,0.0,85.24062440424302,185.29324192547676,436.8007075134435,65.0,56.0,11.35559648126242,147.88804531784382,246.04211667684322,321.9342094433067,218.91080432265963,100.27227497163554,75.46925671580999,119.09729366874538,159.4719361112038,5.046326191813699,42.0,212.81083666304102,174.00970333922834,90.38899120315605,167.37646191821898,140.07552778078977,34.48562328161218,115.0,67.74687480141434,0.0,94.45578064694331,23.926377695819546,44.496022474527344,12.163421522243386,77.99886356415067,32.0,52.0,57.27400488083944,41.0,40.0,3387.5466573129224,879.3302341573614,897.6312401849328,117.15457519545777,90.67517619213939,2200.7787086932253,114.38899120315605,26.983918627838182,83.0,100.73891975046902,54.0,41.498295346226,59.0,38.0,174.49602247452734,36.09842019800964,159.051203461782,188.7281286448691,271.7215321037083,263.00341237552146,259.21465617688006,330.85520833023827,852.2652378770739,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,72.0,13.0,15.0,18.0,84.49715891037667,89.28197417708196,213.46630387217354,199.78460055787778,69.8671330086443,23.62005611365595,1.748011237263671,1348.5134708161515,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,76.0,59.48562328161218,45.0,51.17039716231335,212.56911008634626,228.09362368515247,307.3219825484768,187.72271847977402,125.42212524900475,3.7278903234716534,0.0,0.0,0.0,2200.7787086932253,1348.5134708161515,852.2652378770739,2467.2735947319034,2200.7787086932253,266.49488603867803,80.494886038678,0.0,43.0,13.0,0.0,0.0,130.0,2200.7787086932253,1348.5134708161515,0.0,18.78693418140344,6.0,0.0,68.0,34.80351455100761,11.0,67.38163789569852,63.79355757670679,1078.747826611335,852.2652378770739,5.422385925049678,91.10666784928094,1.748011237263671,6.0,49.0,81.0,28.0,74.8162821573421,2869.364236743304,1622.1206708099085,94.96363405282142,299.34306719632536,119.23058015835475,592.4273746159183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2884.409114253946,1.991396387227483
2,6717.472696840693,49.269846515183445,76.32826628722674,0.2813711033372096,115.0,239.0,144.03169404556976,0.18758073555813973,4.0,26.0,72.0,153.0,176.96959772336047,253.23447591944768,158.8831604559134,90.41341368993946,334.0,197.0785892294593,65.0,105.56930037992782,185.56274220667441,167.0,244.78360874615538,107.39404106379793,116.33562129175462,91.0,223.22166337075544,52.56930037992783,86.02832129321835,221.10194220358142,109.0,40.24054296343709,35.44381787077488,69.04352243153812,131.78808212759586,349.7408850500876,222.86826311540824,189.4742220516103,101.77318478709068,4661.5499923970265,564.3854000029274,252.01649290725,4.080180987812364,40.37516147111628,2646.317666421888,420.7880821275959,210.4289205302697,171.1672258508886,80.45246083584124,174.4220566550058,184.8758073555814,135.70342775834303,25.0,55.0,224.0785892294593,219.89100849390115,185.3599603327965,166.70342775834303,52.0,185.8037762993755,154.64292319448677,1261.0334079828756,0.0,0.0,0.0,23.197020531898964,32.277201519711326,0.0,12.24054296343709,5.335621291754629,5.580826872277481,57.45246083584123,60.10194220358143,34.0,29.0,0.0,69.0,150.0,34.0,179.4537507005756,230.39404106379794,294.0,45.0,0.0,0.0,0.0,1385.2842584390123,7.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,7.0,177.0,29.0,87.0,161.0,61.0,81.51584702278488,121.75032294223256,235.07858922945928,85.50064588446511,168.4220566550058,93.80457313064997,25.21222357441461,0.0,0.0,0.0,0.0,2646.317666421888,1385.2842584390123,1261.0334079828756,3445.762093792488,2646.317666421888,799.4444273705999,12.649481367740195,0.0,13.0,0.0,0.0,0.0,773.7949460028598,2646.317666421888,1385.2842584390123,0.0,42.51584702278488,20.56930037992783,14.0,11.0,46.56274220667442,46.0,347.8469968372949,428.0,428.7893719923302,1261.0334079828756,8.0,0.0,29.78808212759586,104.0,34.0,227.87978960775789,236.7147650150474,251.65077123247454,2436.1707954556687,1684.0120252383972,216.0,182.0,158.08018098781235,126.60963739056396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,877.1109863252295,2.4533318261927537
3,2346.4058451339115,66.0,0.0,0.0,81.12276082608686,224.66264140347815,117.84061121913024,0.0,0.0,0.0,87.62587991999982,115.15965583826062,108.16576049739112,173.10431331999996,2.969343175652144,76.0,70.02455216521737,28.349701443478246,12.374253608695618,25.0,193.76085006434764,150.0,104.04910433043474,118.15952230956519,18.699402886956495,70.0,0.8098208660869484,34.0,14.83437303130432,73.29449245391302,0.0,0.0,0.0,12.0,19.0,135.64419389739126,0.0,9.0,16.0,1922.902592511303,671.2395505217387,314.1289990139128,190.68108890956503,285.9386863513043,1311.000667643477,136.02455216521736,14.171865156521596,53.0,0.0,23.0,9.0,38.0,1.7546118765217216,1.8895820208695462,13.092104001739,39.42946259826085,174.76085006434764,216.74240255826075,136.6135370730434,134.30073064173894,319.22096948695634,773.9944294556512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,342.8039832643473,143.8651633843476,140.57677558956507,63.723955052173864,57.02455216521737,537.0062381878259,2.1595223095651956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,54.0,9.0,172.58898490782605,160.88347736173907,45.37425360869562,34.0,50.0,0.0,0.0,1311.000667643477,537.0062381878259,773.9944294556512,1499.7862034017376,1311.000667643477,188.78553575826044,38.343730313043196,0.0,0.0,0.0,36.0,0.0,114.44180544521724,1311.000667643477,537.0062381878259,0.0,0.0,255.58288024869555,0.0,88.0,0.0,0.0,0.0,21.0,172.42335793913037,773.9944294556512,24.12886548521734,188.87153510086895,218.57677558956507,73.34970144347825,44.404910433043476,14.0,0.0,0.0,1547.319845791303,812.4544153495646,125.98779068173903,18.61353707304341,193.74864074608666,377.44180544521726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1039.6104050623521,1.7939204706343002
4,11818.0,305.0,62.0,24.0,197.0,366.0,406.0,88.0,13.0,90.0,153.0,334.0,601.0,717.0,271.0,681.0,237.0,412.0,79.0,88.0,456.0,431.0,379.0,273.0,449.0,91.0,150.0,186.0,64.0,63.0,63.0,37.0,18.0,45.0,218.0,88.0,103.0,54.0,21.0,7381.0,488.0,159.0,66.0,33.0,4729.0,673.0,171.0,431.0,77.0,403.0,369.0,241.0,363.0,224.0,396.0,304.0,366.0,253.0,205.0,47.0,206.0,2415.0,55.0,59.0,0.0,28.0,39.0,87.0,0.0,24.0,0.0,0.0,0.0,73.0,0.0,70.0,52.0,64.0,201.0,609.0,441.0,361.0,21.0,39.0,0.0,28.0,2314.0,39.0,17.0,0.0,38.0,165.0,0.0,15.0,7.0,124.0,150.0,411.0,29.0,88.0,452.0,149.0,38.0,39.0,186.0,105.0,230.0,8.0,12.0,0.0,12.0,0.0,0.0,4729.0,2314.0,2415.0,5631.0,4729.0,902.0,314.0,0.0,0.0,0.0,0.0,0.0,588.0,4729.0,2314.0,16.0,0.0,378.0,261.0,101.0,31.0,53.0,527.0,410.0,537.0,2415.0,0.0,65.0,20.0,41.0,119.0,183.0,237.0,461.0,5027.0,3637.0,543.0,465.0,136.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9505.911390639803,2.4949566504546414
5,13957.089525342486,15.0,8.0,0.0,238.6887579799809,1163.378099218242,1587.9037699619782,16.0,0.0,2.6444035187375805,266.0836654794889,1753.8590983241866,1537.7921656225399,835.7544868245585,444.66742157999994,271.32694272261074,297.76153259696514,449.73833785554666,89.8715735770069,126.93744744291092,1019.8915467126841,340.8802762105013,253.30929814596283,189.5835202746595,312.8996053546847,55.43227648720841,133.05034003182084,106.05237875301488,36.90226162954832,131.5848255780735,86.01888881672751,53.503977525472656,77.83657847775662,111.96595062248673,106.91399023400253,128.00888308632187,143.72599511916056,34.02184668219182,98.02780486824413,11978.601120337069,4988.244982148661,2654.003685506943,1264.1384397683883,641.2165048643299,7050.178558261961,110.6539026968122,111.04388624040595,139.02135470409004,128.87012676772426,13.037735178331324,80.54484454279313,16.067526108592897,107.94917604736513,16.503977525472656,182.93741839276404,406.95632450085185,797.1535708454462,762.2628701593206,544.760041484872,1413.223973609258,2219.1918294578604,2519.569714678009,0.0,0.02780486824413385,0.043693364383638904,0.0,0.0,0.0,0.0,0.0,12.0,38.0,0.0,33.0,0.0,0.0,13.0,0.043693364383638904,21.0,37.5022261169961,92.71593491598546,511.93275923947726,850.9333350890331,568.9041959588776,196.3486676077995,115.203413918826,4530.608843583952,22.0,0.0,0.0,11.0,23.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,7.0,13.475281370207153,8.964814186637396,107.82960283768665,284.43088991365374,767.7974831488247,1318.3864790624748,913.0894745644371,796.9439151378411,156.9684803342721,70.72242302791723,0.0,17.0,7050.178558261961,4530.608843583952,2519.569714678009,7736.762838884335,7050.178558261961,686.5842806223744,180.505113961322,0.0,55.055609736488265,0.0,9.0,0.0,442.02355692456416,7050.178558261961,4530.608843583952,0.0,122.21245084596934,506.7841346715811,147.5073986129235,235.65987047082814,46.19648544899239,16.0,138.61836210430147,130.2064424232932,3187.4236990060626,2519.569714678009,10.577614074950322,632.0204401198351,292.1767851422522,106.92753746634222,152.09566071584152,20.204814744663363,95.9546582210178,89.16386268225395,10423.414496585268,6550.054121995123,274.0124782574311,344.6385815547731,414.9891830691438,2575.9711571036555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12681.973302771547,1.9435745947965184
6,6938.815858881085,45.23091034623037,32.9251141532842,9.21338338364978,245.80979778674748,794.2228032862334,948.243762562384,79.46636511768526,102.88733421804179,27.938450437430397,266.5100558970863,1050.4783138045395,483.75233518584133,601.8849951834233,210.54193089484147,115.42059286832765,268.2339496204993,216.9386095687347,68.97898086828583,118.62276014047245,349.1664410910048,44.0650297908647,122.06770428365337,110.28453833972226,173.05883503813172,0.1999046444689758,0.25241678371959864,1.316197626235683,31.20009997079387,0.4565208807615244,6.210645050325946,0.0936910175182311,22.314836092613437,0.21656336484139044,0.027764533954024416,107.19486511056553,36.40389880119716,0.006727111491401924,0.4720499828233903,5882.32776349827,2087.183698913486,1096.034876809884,705.199738570135,344.6986477784767,5053.612826848894,343.6051962156399,78.73601243246652,159.14224744266636,191.968809763314,75.64768919432395,111.89361573091402,119.04976849704792,149.32769820791648,43.98136509623638,758.946119245347,937.6330224290208,847.2298207864781,468.62146912758203,274.83248044263945,221.5225206845897,271.47499155271134,4820.919701807015,0.0,0.018678583727366062,0.0,21.12920943727061,8.907229067354653,13.344277307620484,0.005979654659023933,0.0,0.24617485828827151,0.6330313741517567,0.0,0.0936910175182311,0.0,2.70161829856397,0.0,2.425755062851868,19.92144439822553,190.3580216086332,1046.147986543478,1924.436636923598,1000.6101673850734,318.95410902762615,166.9891725659564,0.00907854214729758,232.69312504187874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666348814896586,0.07774069507126836,88.04138689846522,23.053823194356916,94.72820669729292,5.703523047021293,21.02180962818147,0.0,0.0,0.0,0.0,5053.612826848894,232.69312504187874,4820.919701807015,5542.353115661436,5053.612826848894,488.74028881254225,194.15931537743327,108.82056113416401,0.0,0.08715400461405677,0.0,0.0,185.67325829633086,5053.612826848894,232.69312504187874,0.0,0.02317116180371774,156.028006048686,0.0,5.749656228274765,26.998249456771394,0.0,22.609857024232873,0.006727111491401924,21.27745801061859,4820.919701807015,121.96685301854342,318.74957902444015,838.3046125415126,536.011986377286,196.36983302473516,362.0329513596259,662.1449332846802,50.06021734881837,5370.593198865371,2654.7703907952814,125.51811677384111,355.6653698865282,848.6868833991298,1263.3093105466683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7166.091680822282,1.3193905479969297
7,11142.0,101.0,32.0,0.0,287.0,1026.0,738.0,0.0,0.0,11.0,363.0,1095.0,735.0,647.0,191.0,237.0,294.0,278.0,86.0,157.0,776.0,139.0,196.0,209.0,297.0,112.0,143.0,42.0,207.0,436.0,216.0,38.0,99.0,67.0,84.0,421.0,131.0,100.0,160.0,9357.0,3558.0,2239.0,998.0,471.0,6566.0,360.0,164.0,299.0,91.0,37.0,28.0,95.0,163.0,85.0,181.0,490.0,727.0,679.0,608.0,1022.0,1537.0,3418.0,17.0,0.0,0.0,26.0,143.0,0.0,15.0,158.0,81.0,40.0,0.0,0.0,20.0,0.0,60.0,13.0,60.0,39.0,189.0,553.0,1072.0,286.0,245.0,308.0,3148.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,64.0,11.0,34.0,38.0,306.0,366.0,633.0,623.0,649.0,270.0,94.0,0.0,5.0,6566.0,3148.0,3418.0,7269.0,6566.0,703.0,273.0,19.0,127.0,0.0,18.0,0.0,266.0,6566.0,3148.0,14.0,39.0,308.0,226.0,327.0,51.0,48.0,22.0,7.0,2106.0,3418.0,15.0,1293.0,200.0,172.0,383.0,247.0,219.0,68.0,7385.0,4228.0,226.0,208.0,617.0,1862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2746.754801175456,1.6881480353335363
8,10444.0,29.0,7.0,0.0,82.0,479.0,905.0,10.0,42.0,115.0,94.0,666.0,1193.0,611.0,376.0,288.0,330.0,214.0,75.0,77.0,560.0,405.0,199.0,417.0,173.0,137.0,195.0,85.0,247.0,243.0,112.0,68.0,118.0,117.0,254.0,197.0,131.0,94.0,62.0,9028.0,2611.0,1754.0,750.0,679.0,5805.0,335.0,257.0,81.0,105.0,110.0,173.0,216.0,175.0,231.0,283.0,460.0,759.0,604.0,508.0,757.0,751.0,2395.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,26.0,47.0,0.0,73.0,8.0,68.0,147.0,463.0,123.0,540.0,527.0,244.0,82.0,16.0,3410.0,12.0,0.0,13.0,8.0,21.0,0.0,0.0,19.0,0.0,0.0,29.0,10.0,0.0,37.0,17.0,161.0,178.0,782.0,584.0,915.0,459.0,155.0,0.0,10.0,0.0,0.0,5805.0,3410.0,2395.0,6232.0,5805.0,427.0,93.0,108.0,7.0,0.0,0.0,0.0,219.0,5805.0,3410.0,0.0,138.0,19.0,16.0,41.0,26.0,69.0,323.0,218.0,2560.0,2395.0,12.0,329.0,117.0,53.0,55.0,259.0,318.0,220.0,7047.0,4159.0,375.0,274.0,443.0,1493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7339.16877753084,1.7976761412575366
9,1258.8970332216518,14.31453535397031,10.17823957431828,0.0,28.789861302619805,97.06826037448954,161.77167130471952,12.500012591685461,0.0,13.989535604346708,4.120145145063817,149.65593999821112,31.753696901989844,37.64385539726963,61.84697172312866,83.4398048786328,59.7018281577846,69.90729055769411,28.11835681567496,46.37266214521202,22.37920413514665,17.110428206242904,15.386425382669307,69.22059742184055,8.110085632784788,2.793779556645197,8.993272888508598,8.179734487983035,58.71106330984056,16.47302429328331,15.920047999729396,0.0,0.0,0.651881896550546,3.7603636267779446,6.239441009840939,2.2350236453161574,9.924532740723663,0.9312598522150656,1094.3005043409055,108.94632416433248,61.070470420668755,0.0,7.994020345340976,285.11334610426445,8.11022281879339,28.741613212512682,0.4656299261075328,1.490015763544105,15.454418073621865,2.7359777893413724,0.8285029861389565,23.982061036022927,13.961594835884185,0.0,22.013833850759983,108.44293723193262,9.733927082689513,17.986545777017195,31.06766254141318,0.09840317848497156,183.31777173138596,0.12363476271188735,2.4212756157591704,0.0,5.169869197214001,4.1906693349677955,0.9541991544373716,7.994020345340976,0.0353242179176821,0.07821791110343894,1.3968897783225984,0.0,0.0,3.0731575123097166,0.0,0.0,0.0,2.514401600980677,18.864731566500787,38.97084918353726,68.39324881779201,8.054576147485573,0.0,0.0,0.0,101.79557437287849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7693937192086246,0.0,10.991777974843842,21.983555949687684,36.056355781983214,0.01766210895884105,30.976828838196283,0.0,0.0,0.0,0.0,285.11334610426445,101.79557437287849,183.31777173138596,325.82318114909566,285.11334610426445,40.70983504483121,0.17157477274302735,0.06307896056728947,0.0,0.0,0.0,0.0,40.47518131152089,285.11334610426445,101.79557437287849,0.0,30.976828838196283,50.961879701548725,1.7693937192086246,0.0,0.0,0.0,0.0,8.993272888508598,9.094199225416261,183.31777173138596,0.651881896550546,1.5127241893483292,136.60049435588505,10.895740270916267,0.0,4.661576454338793,0.24222320857839152,2.4892445643125924,460.8983861608541,183.18617967777936,55.37785775405505,104.64787361779281,94.60214594216761,22.240918108802227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1281.0898480969167,1.9337627152785721
10,7313.0612695496,14.810443650358437,5.0,49.96629105787614,206.02558650232365,358.87007365188583,720.6995231561231,59.04959189401998,9.027251859488949,47.10271766935212,282.1682464863568,522.0986712665019,650.897021052224,478.3204167352803,133.80067463917172,158.8041700444859,167.34336649122548,271.3376593029131,82.09073700517301,148.20456761721545,670.6428883465297,179.970315159551,112.6901037752595,102.1835259920271,106.32461227243311,182.03857221184393,137.23510872849405,32.43044962920184,53.31360350049789,126.14052523061042,97.41752749989554,53.58566804240097,20.414431279355888,110.99781832654712,73.8386033499178,88.57538288632676,113.39960516842295,0.0,42.80215154290734,5996.467773904423,1633.7867789067598,1416.0571367721475,526.6068793141206,408.21086876558303,4607.919542921683,557.5577141625471,255.1995001304791,108.92433333503068,241.59907971292546,96.92516138936776,156.5394546695329,130.337249865233,74.90606647719348,295.2680449196772,275.13817168379603,311.31933156469137,714.8555339784496,360.8424255537525,387.59025596301103,212.0788565687167,428.8383629472797,3423.6490241359315,0.0,0.0,35.0439519372983,77.77788235509063,75.61945143515595,65.99956451592027,56.95564629980673,19.391326793554875,22.01235850313492,5.23849827613826,30.58566804240097,6.053413466725193,7.327816301825233,4.787661583819596,108.8740678887741,97.24261531278763,119.4746368602323,658.6704688498812,657.0479937782595,898.2841163761907,339.2776638341899,112.93462983072543,0.0,0.04959189401998752,1184.2705187857516,0.0,0.0,6.463775597851624,17.0,40.0,0.0,0.0,0.0,40.77538289409196,7.454004802879605,0.0,10.50363534650889,21.0,90.68530706868876,112.0,109.79600996485105,26.056720437156056,23.147653146689187,69.96635260736971,255.02632038577374,134.88317906621734,129.4962636619978,67.36028120202549,22.655632603650467,0.0,0.0,4607.919542921683,1184.2705187857516,3423.6490241359315,5157.136553427128,4607.919542921683,549.2170105054447,122.6636902892997,34.75638819190089,0.0,26.331184573998378,55.0,0.0,310.4657474502457,4607.919542921683,1184.2705187857516,0.0,13.0,135.72323059935079,10.572099113946598,40.910249226881895,86.77901063162516,154.60221913692527,31.153627150121924,37.0,674.5300829269001,3423.6490241359315,0.0,375.1900058670834,256.8297636534734,104.91650424811886,132.6257871341832,188.86171987143524,518.1171000453315,266.5733905044936,4692.319743384282,1873.487683362626,253.04036131640322,611.9327372141197,585.9875548883884,1229.3790984124382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4695.421437763215,1.5553994592414802
