OBJECTID,GEOID,weight,pop_in_nsa,bg_total_pop
1,245100102001,1.0,294.6006940421117,965
1,245100102002,0.5607029102015221,335.2886043356982,604
1,245102608001,1.0,272.7948752689966,1650
1,245102608002,1.0,912.2977041168233,1281
1,245102609001,0.3388991203156049,159.3308457657588,1071
1,245102610004,1.0,671.6177147835847,1004
1,245102611001,0.24971589103766728,238.4786759409729,955
2,245102717001,0.3138600759855664,8.781611378774231,397
2,245102717002,1.0,693.0,693
2,245102717004,1.0,3.6793253093968943,1172
2,245102717005,1.0,6.546581144473728,998
2,245102717006,1.0,2.7292491920922965,390
2,245102718011,1.0,3.3676672267491217,611
2,245102718022,1.0,0.001364140852817031,1358
2,245102719002,0.04689518388953493,6.682363589893933,626
2,245102719003,1.0,152.1140741424135,729
2,245102719004,1.0,0.20875020058301444,681
3,245100203002,0.13497014434782473,216.4135728669587,1934
3,245100302002,1.0,823.1968321953934,1524
4,245102504011,1.0,1497.6560249430427,1531
4,245102504012,1.0,832.6592679058133,833
4,245102504013,1.0,1229.0895360462173,1233
4,245102504021,1.0,1255.8223439139356,1257
4,245102504022,1.0,1013.9999999999999,1014
4,245102504023,1.0,1356.3522756313841,1385
4,245102504024,1.0,1060.369450628897,1061
4,245102505003,1.0,134.564572883832,1910
4,245102505005,1.0,1125.3979186866818,1898
5,245100101001,1.0,1133.0,1133
5,245100101002,1.0,967.0,967
5,245100101003,1.0,1096.973257952108,1097
5,245100102002,0.439297089798478,262.69046485656304,604
5,245100102003,1.0,964.8461188331728,975
5,245100103001,1.0,935.4700973572385,961
5,245100103002,1.0,1349.9722102168625,1355
5,245100104001,1.0,867.0,867
5,245100104002,0.9999385027372772,705.2494562143634,709
5,245100104003,0.9960904651819328,1124.3523542895073,1150
5,245100203001,0.001986062017438132,2.2450645053908653,1140
5,245102606055,1.0,117.51415849660005,132
5,245102609001,0.6611008796843951,310.81155418316865,1071
5,245102609003,1.0,934.3272418075417,1834
5,245102611001,0.7502841089623327,716.5213240590296,955
5,245102611002,1.0,1194.0,1194
6,245100302001,0.0007474568323779916,0.9407774045409045,1420
6,245100401001,0.9999100109426848,1626.8535878037483,1627
6,245100401002,0.9830372619231684,1049.8837957339463,1068
6,245100401003,0.9999351650656072,2897.665921747279,3029
6,245100401004,0.9997283034306838,1096.7019488634608,1097
6,245100402001,0.438732542078561,485.67692408096656,1107
6,245101101001,0.000907854214729758,1.3045865065666618,1437
6,245101102001,0.0011674114829603789,0.870888966288426,746
6,245101102002,0.0037476407007292437,4.0249661125830745,1074
6,245101701001,0.005552906790804883,2.1682836029023607,919
7,245102201002,1.0,1.3099611650630107,2551
7,245102201003,1.0,14.311939791578183,339
7,245102201004,1.0,820.0745093316318,959
7,245102301001,1.0,148.27619324025048,995
7,245102301002,1.0,263.52749843294384,1429
7,245102302001,1.0,596.5109797892799,910
7,245102402001,1.0,322.03965466724634,2289
7,245102402002,1.0,1.4256238548006892,980
7,245102403001,1.0,430.08405036683735,899
7,245102403002,1.0,146.19639287665092,661
7,245102403003,1.0,2.9979976591738406,691
8,245101306001,1.0,1096.94482215962,1249
8,245101306002,1.0,354.6943927522713,890
8,245101306003,1.0,773.0,773
8,245101306004,1.0,858.0,858
8,245101307002,1.0,6.930298740932048,916
8,245101307003,1.0,323.169722365054,468
8,245101307004,1.0,620.7981542020827,622
8,245101307005,1.0,0.16978453115449607,1190
8,245101307006,1.0,1356.4280864969087,1362
8,245101308031,1.0,0.5771347038455868,631
8,245101308033,1.0,0.007857061118134404,1040
8,245101308041,1.0,885.222297538105,887
8,245101308042,1.0,1063.2262269797477,1099
9,245100301001,0.0025231584226915785,0.6206356478975351,1310
9,245100302001,0.999252543167622,1257.6969977668687,1420
9,245102805002,0.40898672439915174,22.707165238344416,165
9,245102805004,0.09312598522150656,0.06504944380597924,671
10,245101001002,0.807971949731453,0.2196779495837546,1027
10,245101101001,0.004959189401998752,7.126355170672204,1437
10,245101101002,1.0,840.0,840
10,245101101003,1.0,1207.0,1207
10,245101102003,0.7347983979099433,832.5265848319607,1133
10,245101102004,0.9987182319750083,1531.681912311199,1547
10,245101102005,0.0020746596193244914,1.5145015221068903,730
10,245101102006,0.2484668267626535,262.877902714883,1058
10,245101205002,1.0,0.2375078445563302,1334
10,245101401001,1.0,11.660200538292154,1202
10,245101401004,0.3186007087750101,0.09422348603399339,1329
10,245101701001,0.0012358503134920881,0.4825713939272198,919
11,245101304001,1.0,0.016331271910849945,480
11,245101304003,1.0,0.04185629774308196,454
11,245101502003,1.0,1.0504816366325045,592
11,245101504001,1.0,699.8933124661382,718
11,245101504002,1.0,585.4965842099856,921
11,245101504003,1.0,1603.8841817168052,1610
11,245101505002,1.0,3.330519826490825,643
11,245101506001,1.0,0.03171221851743592,680
12,245100401001,8.998905731524442e-05,0.1464121962519027,1627
12,245100401003,6.483493439272304e-05,0.1878821612561128,3029
12,245100401004,2.8079296076077467e-05,0.030802987795457003,1097
12,245101101001,0.9941329563832715,1428.5690583227606,1437
12,245101102001,0.9988325885170396,745.1291110336973,746
12,245101102002,0.9962523592992708,1069.9750338873814,1074
12,245101102003,0.2652016020900567,300.47341516803243,1133
12,245101102005,0.9979253403806756,728.4854984778987,730
12,245101102006,0.7515331732373465,795.1220972850992,1058
12,245101701001,0.9838296026073978,384.16304752602554,919
13,245101001001,0.0007375223446367848,0.2192648313708746,907
13,245101002001,0.28884007498733844,138.06555584394712,478
13,245101002002,1.0,1255.6424486970197,1275
13,245101002003,1.0,535.9434896153832,962
13,245102805002,0.5910132756008483,32.81337829935559,165
13,245102805003,0.9942040043170787,364.8728695843724,367
13,245102805004,0.9027253758376547,0.6305628173286887,671
14,245102101001,1.0,594.0199379935335,717
14,245102101002,0.9999804411899919,1222.2735167667056,1460
14,245102102001,1.0,1220.5768902861428,1228
14,245102102002,0.9973493881403935,1779.1341252339905,1784
14,245102201001,0.6159276082715458,0.7791972588353036,1159
15,245100901003,1.0,226.68256957380393,898
15,245100901004,1.0,169.10338250991998,558
15,245100903001,1.0,253.3902507271883,886
15,245100903002,1.0,1723.4400372217044,1729
15,245100903003,1.0,0.26321288118048153,1348
15,245100905002,1.0,6.791165587844798,1087
15,245101202011,0.012986952841297186,0.008790343504004804,971
