OBJECTID,pop_total,edu_total_25plus,edu_bachelors,edu_masters,edu_professional,edu_doctorate,hhinc_total_hh,hhinc_lt10k,hhinc_10_15k,hhinc_15_20k,hhinc_20_25k,hhinc_25_30k,hhinc_30_35k,hhinc_35_40k,hhinc_40_45k,hhinc_45_50k,hhinc_50_60k,hhinc_60_75k,hhinc_75_100k,hhinc_100_125k,hhinc_125_150k,hhinc_150_200k,hhinc_200k_plus,rent_total_units,rent_lt100,rent_100_149,rent_150_199,rent_200_249,rent_250_299,rent_300_349,rent_350_399,rent_400_449,rent_450_499,rent_500_549,rent_550_599,rent_600_649,rent_650_699,rent_700_749,rent_750_799,rent_800_899,rent_900_999,rent_1000_1249,rent_1250_1499,rent_1500_1999,rent_2000_2499,rent_2500_2999,rent_3000_3499,rent_3500_plus,homeval_total_units,homeval_lt10k,homeval_10_15k,homeval_15_20k,homeval_20_25k,homeval_25_30k,homeval_30_35k,homeval_35_40k,homeval_40_50k,homeval_50_60k,homeval_60_70k,homeval_70_80k,homeval_80_90k,homeval_90_100k,homeval_100_125k,homeval_125_150k,homeval_150_175k,homeval_175_200k,homeval_200_250k,homeval_250_300k,homeval_300_400k,homeval_400_500k,homeval_500_750k,homeval_750k_1m,homeval_1m_1500k,homeval_1500k_2m,homeval_2m_plus,tenure_total,tenure_owner,tenure_renter,housing_total_units,housing_occupied,housing_vacant,vacant_for_rent,vacant_rented_not_occ,vacant_for_sale,vacant_sold_not_occ,vacant_seasonal,vacant_migrant,vacant_other,pop_in_nsa
1,4942.885330354973,3757.576596731289,888.765901431789,508.5826750191049,226.75632430320934,50.653426683667305,2129.8689436282425,84.18367097041497,114.247443019339,114.38899120315605,53.45578064694331,109.38899120315605,52.959772417713175,93.88615011353272,121.38882570311861,55.0,161.23353050209172,232.5035998580851,273.02188467653303,197.86881404344024,206.8869115842548,165.68591211378526,93.76866557267854,892.4421908154903,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,76.0,25.0,18.38899120315605,0.0,39.48562328161218,69.35559648126242,154.38103615221073,85.08235036888475,267.2203280838285,64.84133675421724,30.25267614135971,1.2485794551883365,3.281974177081966,1237.4267528127523,0.0,0.0,5.0,0.0,3.050092082840444,0.0,0.0,9.0,21.0,35.0,31.0,61.06678944378726,13.0,99.63643422249505,118.77476111423196,116.66355058952716,97.26071682744062,326.594228868735,88.24399674613313,168.29105178172316,27.349108661311057,0.0,13.0,3.496022474527342,0.0,0.0,2129.8689436282425,1237.4267528127523,892.4421908154903,2396.2534067669853,2129.8689436282425,266.38446313874255,91.55786001693528,0.0,50.74687480141434,0.0,5.0,0.0,119.07972832039293,2884.409114253946
2,5631.016083558989,4471.216281895006,344.35390090559065,249.32826628722674,38.47918846651064,23.0,2200.2027281465566,364.84711330366014,122.97020531898966,233.74615335860668,133.94943017014035,139.60963739056396,165.0,37.0,72.59602801059725,96.51088060788453,156.78808212759586,90.07858922945931,261.073622814559,105.0,46.40685551668605,129.2978640105872,45.32826628722675,1037.105062471987,25.0,7.532641823653594,5.963341443725762,64.12370341935049,10.985102659494824,17.57616425519172,25.78808212759586,10.51088060788453,28.868263115408226,10.120517998448486,19.0,23.0,57.0,0.4220566550058144,60.0,16.51088060788453,78.0,223.0,184.0,80.0,9.703427758343024,0.0,30.0,0.0,1163.0976656745697,16.0,0.0,0.0,8.0,17.0,40.0,6.0,5.0,28.0,92.0,218.0,99.0,84.07858922945931,175.11028327502908,66.0,148.0785892294593,31.48544474614535,65.45375070057558,23.89100849390116,16.0,0.0,0.0,0.0,24.0,0.0,0.0,2200.2027281465566,1163.0976656745697,1037.105062471987,3179.2027281465566,2200.2027281465566,979.0,125.0,0.0,38.0,62.0,0.0,0.0,754.0,877.1109863252295
3,1234.9579350295637,1083.6204429043464,319.74864074608666,204.28241666434747,191.4848051165215,168.73629789913028,728.24592223826,7.969343175652144,15.509223753043443,32.10431331999997,22.0,1.2147312991304227,15.0,11.429462598260844,30.29449245391302,17.478566928695585,56.693298227826006,40.74240255826075,47.619641732173896,91.80371620695647,46.18407447478257,85.87737270260857,206.3252828069563,457.52793831652116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1043133199999686,14.429462598260844,16.779164041739094,13.509223753043443,65.30073064173894,170.6319845791303,80.34359678434777,54.42946259826085,39.0,270.71798392173883,0.0,0.0,0.0,2.4294625982608453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,30.368148949565132,129.4724622695651,34.50922375304344,35.938686351304284,17.0,10.0,0.0,0.0,728.24592223826,270.71798392173883,457.52793831652116,958.1786374591293,728.24592223826,229.93271522086923,85.1044468486954,25.0,0.0,0.0,58.88958202086955,0.0,60.938686351304284,1039.6104050623521
4,11469.0,7735.0,412.0,187.0,1.0,47.0,3962.0,448.0,325.0,248.0,137.0,242.0,187.0,347.0,167.0,228.0,360.0,249.0,532.0,283.0,46.0,50.0,113.0,2388.0,0.0,11.0,0.0,50.0,21.0,45.0,21.0,41.0,51.0,38.0,11.0,62.0,12.0,120.0,314.0,317.0,255.0,453.0,231.0,286.0,18.0,12.0,0.0,0.0,1574.0,32.0,9.0,0.0,0.0,12.0,0.0,11.0,104.0,109.0,83.0,204.0,151.0,128.0,311.0,120.0,96.0,67.0,99.0,0.0,6.0,9.0,11.0,0.0,0.0,12.0,0.0,3962.0,1574.0,2388.0,5322.0,3962.0,1360.0,215.0,37.0,88.0,0.0,61.0,0.0,959.0,9505.911390639803
5,13157.068887644695,11310.060885697874,4335.412228583232,2260.7573872206412,954.4736506123314,544.4653428557606,6433.593895980266,221.04234591795455,155.7738501874883,97.64874397517528,105.60975939963215,101.61027082969127,173.0374602054643,103.13371050664166,165.61062082151687,121.031776992279,229.848874948395,518.7863581480291,781.156466723418,723.1888977011591,752.1357093643103,1100.4537564508514,1083.5252938082592,2535.2079360395956,0.0,0.12710796911604044,29.0,0.06156792254058209,10.0,0.0,0.0,0.0,0.019860620174381317,0.0,10.0,11.0,17.0,17.61100879684395,30.0,58.51437671838782,43.64188213096595,158.61631946549218,159.03234925002488,604.8675798738294,721.3371739394798,456.7701907962563,92.75844233394058,56.71802582291804,3898.3859599406705,0.0,0.0,12.0,13.0,5.949907917159556,0.0,0.0,0.0,12.0,8.999446524635495,0.0,45.93247258906007,0.0,67.36245882677593,43.225238885768036,242.33644941047282,99.83021154452248,516.5357624232972,673.9090096760826,995.9015528863159,609.7270311168097,365.9900989407016,114.08562145775863,54.60118971941199,16.99950802189822,0.0,6433.593895980266,3898.3859599406705,2535.2079360395956,7541.3899406984165,6433.593895980266,1107.7960447181504,387.6023274881554,46.997109628652034,153.25312519858565,93.0,94.02757702880355,0.0,332.91590537395376,12681.973302771547
6,4777.504861963968,3574.168152886066,1419.3684869045865,843.1871424992628,513.2779384866212,233.74161109615153,2683.1545338217156,278.86696670364205,138.78062919069754,67.71008927513256,37.06994153433784,23.07957940551546,148.75636468228032,4.923489983327424,87.53748262611586,155.93836869166898,239.81705003422158,586.860252556422,329.8846259963299,189.23338265952802,112.29619495585328,122.19294031565255,160.2071752109906,2488.8687785198013,5.703523047021293,0.08556680685404933,2.245658734865,0.6628460455702357,54.56192079743622,0.05189782265021898,6.337396316032996,0.09702733265722645,0.07169935965513659,0.043034379565743186,0.05349877521903507,40.593096072806055,1.9835362510587278,0.32979238166417346,3.854357189608719,23.635487054836823,40.40693303395406,201.07249351708143,874.9662287531116,1021.2447597321187,61.4308068008543,99.09826572712723,18.998290207911012,0.0,194.28575530191466,0.0,0.0,0.03887034753563418,0.0,17.702145282940812,0.0,0.0,0.0,0.0,0.02658971439170326,0.0,0.03887034753563418,0.0,0.10428003030328402,18.102765702506435,0.28234218555734236,13.202635514526001,12.087936102291549,89.16622227082183,0.22359207778545662,16.005287286574358,18.245066089448795,0.0599622512116679,0.0,0.0,8.999190098484164,2683.1545338217156,194.28575530191466,2488.8687785198013,3283.210706409975,2683.1545338217156,600.0561725882594,242.8430329164605,164.82530347926613,0.08841131953013305,0.0,28.662984266581056,0.0,163.63644060642164,7166.091680822282
7,10884.0,8889.0,3281.0,1848.0,908.0,271.0,5440.0,207.0,305.0,249.0,104.0,107.0,101.0,96.0,96.0,116.0,274.0,435.0,629.0,519.0,471.0,596.0,1135.0,2677.0,0.0,44.0,41.0,116.0,26.0,48.0,84.0,38.0,71.0,8.0,6.0,28.0,13.0,50.0,0.0,56.0,79.0,197.0,251.0,677.0,447.0,213.0,65.0,79.0,2763.0,0.0,13.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,29.0,0.0,0.0,0.0,35.0,57.0,83.0,96.0,299.0,298.0,546.0,461.0,497.0,199.0,69.0,22.0,45.0,5440.0,2763.0,2677.0,5967.0,5440.0,527.0,119.0,32.0,171.0,12.0,58.0,0.0,135.0,2746.754801175456
8,11006.0,9092.0,2737.0,1983.0,392.0,592.0,5378.0,199.0,255.0,198.0,178.0,245.0,170.0,226.0,137.0,214.0,531.0,412.0,666.0,675.0,408.0,468.0,396.0,2472.0,0.0,0.0,8.0,14.0,16.0,7.0,4.0,0.0,217.0,0.0,44.0,210.0,6.0,49.0,101.0,67.0,90.0,380.0,388.0,577.0,175.0,73.0,0.0,0.0,2906.0,22.0,21.0,0.0,0.0,0.0,7.0,0.0,0.0,19.0,40.0,0.0,0.0,17.0,128.0,124.0,241.0,274.0,909.0,571.0,332.0,141.0,40.0,20.0,0.0,0.0,0.0,5378.0,2906.0,2472.0,6026.0,5378.0,648.0,81.0,0.0,93.0,0.0,0.0,0.0,474.0,7339.16877753084
9,1498.8110489968196,1084.608477243221,213.07412568579173,65.04729532595772,48.96337461521348,11.991030518011463,573.5705430611391,124.57496109469001,73.1440164638289,27.573538404036846,1.7645782787813231,3.8019921238815613,38.472550784394855,41.535288710212036,46.99000282314718,17.022617451767257,2.793779556645197,7.19662047598868,30.05074788928672,22.016357009182673,63.01851233855017,40.98701637883134,32.62796327791445,432.75375462622765,0.10849581217573788,0.05803264372190631,2.925033492997713,33.51699236924434,0.9168135309331618,13.254688949269724,69.37119600798985,2.044933621995759,15.451772882842072,13.921542913394152,30.660699185118162,2.45392034639491,0.15643582220687788,9.896422455105771,37.97159664036964,6.543787590386428,11.493621770564022,97.10374001888628,0.037847376340373676,32.905048951574365,31.976081381363905,19.98505086335244,0.0,0.0,140.81678843491164,0.0,0.0,0.0,0.0,9.99252543167622,0.0,0.0,0.0,0.0,0.010092633690766314,0.0,0.0,0.0,0.0,2.793779556645197,0.0,32.041683500353884,0.0,46.96486952887823,17.037756402303405,8.993272888508598,22.982808492855305,0.0,0.0,0.0,0.0,573.5705430611391,140.81678843491164,432.75375462622765,578.8500624526193,573.5705430611391,5.279519391480148,0.1766210895884105,2.0487716748731444,0.0,0.0,0.0,0.0,3.054126627018593,1281.0898480969167
10,5861.258750462608,4625.046943515736,1636.3719659364597,883.5301446581421,408.80744116152664,306.3584300506359,3180.118279263745,557.0193856883106,183.20936947890328,143.28095198884688,172.49162873383514,111.59614111091462,145.32000603863392,113.26240274530915,75.47356770008399,122.5565341570967,241.07059403387476,289.2151777029344,338.52745043785615,276.4539008602376,75.528115777555,162.22761261065028,172.88544019870267,2593.977537843277,12.491572764469035,53.62735637518772,14.550910197047108,58.03903523340764,148.27411195532594,27.017157495525716,90.2077345137871,7.574919736444915,14.832300566892682,27.306980473084405,34.71646117225661,0.0,24.756774366559092,28.0,50.65273565859061,146.09305277696816,224.2583478503907,478.42108371855613,429.97898423165566,586.1517197644966,127.72994173147893,0.0,0.0,0.0,586.1407414204687,14.756774366559092,0.0,0.008650952194444617,0.0,0.0,6.053413466725193,0.0,17.0,0.0,3.0495918940199873,16.0,3.0086509521944445,0.0,11.104079824849851,31.053838739806235,5.64708738214667,13.0,94.67164778855326,72.19496238438342,105.4041924698335,137.32048080035116,50.13255764090122,5.734812757950182,0.0,0.0,0.0,3180.118279263745,586.1407414204687,2593.977537843277,3810.545881251687,3180.118279263745,630.4276019879421,235.21480212274216,66.0,16.0,50.0,4.141809214075131,0.0,259.0709906511248,4695.421437763215
