OBJECTID,pop_total,hhinc_total_hh,hhinc_lt10k,hhinc_10_15k,hhinc_15_20k,hhinc_20_25k,hhinc_25_30k,hhinc_30_35k,hhinc_35_40k,hhinc_40_45k,hhinc_45_50k,hhinc_50_60k,hhinc_60_75k,hhinc_75_100k,hhinc_100_125k,hhinc_125_150k,hhinc_150_200k,hhinc_200k_plus,rent_total_units,rent_lt100,rent_100_149,rent_150_199,rent_200_249,rent_250_299,rent_300_349,rent_350_399,rent_400_449,rent_450_499,rent_500_549,rent_550_599,rent_600_649,rent_650_699,rent_700_749,rent_750_799,rent_800_899,rent_900_999,rent_1000_1249,rent_1250_1499,rent_1500_1999,rent_2000_2499,rent_2500_2999,rent_3000_3499,rent_3500_plus,tenure_total,tenure_owner,tenure_renter,pop_in_nsa
1,4428.2154607266575,1668.5703238352203,84.8493666956097,61.275241095314925,108.97391385868025,76.11552693578456,53.80144179900859,115.37470002168243,76.35743680166352,70.9626078033941,26.900165735301695,228.07088847589688,190.0158434959167,198.02962330220512,182.4031494305304,101.67463987019734,32.96976077721864,60.79601773681548,726.3961698319856,0.0,0.0,0.0,19.95627365619579,0.0,0.0,1.6763827990686506,0.0,0.0,8.946968448221261,0.0,0.0,0.013349844353331204,0.0,0.01618617586389184,46.57546011812269,223.91384387025997,214.3915629482124,109.66732532197274,84.33880170178097,0.00018565684934654646,0.0,0.0,0.0,1668.5703238352203,942.1741540032348,726.3961698319856,4002.2704462254146
2,319.52123151213846,128.05820816000872,2.6461769981257275,0.0,3.0942129985616944,3.1747413283360864,5.488738966142447,2.9801311980479723,16.776683668832053,8.95717032951358,6.148161832236193,17.004847269859496,19.800434378841153,7.352925763909962,19.27522539570473,0.07381763562652603,4.916555123970959,10.368385272300143,30.256058675063553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.35814371075063,12.840084222581355,2.4582775619854793,0.0,2.6159788744603305,0.0,0.0,0.0,0.0,128.05820816000872,97.80214948494516,30.256058675063553,447.9544353654871
3,6.452090907647926,5.424519031644801,4.913168268404004,0.0,0.006340789124886079,0.06951172761500707,0.0,0.15235518986511712,0.02345720106057463,0.05313641419995874,0.004692183952415698,0.020560234237473135,0.05971103871549416,0.045860283512475286,0.04117985699798457,0.02252989823439838,0.012015945725012469,0.0,5.139505291883819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02102790501877182,0.0,0.0,0.0,0.048063782900049874,0.02117451697561564,4.867668636064675,0.05493163132927294,0.003297210344940761,0.09394386258687126,0.029397746663621445,0.0,0.0,0.0,0.0,5.424519031644801,0.2850137397609818,5.139505291883819,21.824286413808377
4,716.3681441166345,227.85544404036864,12.88642614110054,4.685973142218378,10.543439569991351,4.100226499441081,10.543439569991351,28.11583885331027,9.957692927214053,7.614706356104865,9.957692927214053,24.601358996646486,18.158145926096214,70.87534377605297,0.0,9.371946284436756,6.44321307055027,0.0,74.97557027549405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.685973142218378,0.0,19.915385854428106,0.0,2.9287332138864866,0.0,28.701585496087567,8.200452998882161,0.0,0.0,0.0,227.85544404036864,152.8798737648746,74.97557027549405,701.102716867101
5,533.2524271384023,161.61503616004924,33.60653870782273,16.25531356677583,0.3981273523892242,0.13810530493322248,8.486877831810629,0.27455419051168106,13.612457976154444,0.24852453454176507,7.387774470266312,8.33117355975486,8.275068302486575,33.72041118741543,10.768550179334754,10.519959466219667,6.245480019758797,3.3461195098733536,14.982271024516514,0.06041464660313846,0.019941168664506032,0.033235281107510055,0.0,0.0,0.013941841523801183,0.0,0.03717824406346982,0.0,0.0,0.0,0.023236402539668636,0.09148511596768598,0.0,0.0011381379703375584,0.186530213711788,1.9197629957279898,7.155252999528286,0.23526557580016644,3.277988775862487,0.0,1.7874812102076667,0.0,0.0,161.61503616004924,146.63276513553276,14.982271024516514,362.3477041672857
6,1837.1740295958457,719.1502502280607,60.73325517031834,16.45688984697341,47.16426699551319,46.98815887098027,40.9733772278389,18.971200986810313,9.56532494294642,33.47885447311507,39.775404608533776,47.371557052473335,72.72272313019661,81.35329375882593,42.47818761287057,76.70463242330666,47.521666141295064,36.89145698606274,427.1958419770536,0.0,0.0,1.4864297405458462,5.987518925392899,3.758546008902499,0.0,3.633494921334291,0.0,1.807902460066756,0.0,2.6425417609703934,13.70337468247424,8.159537322406738,3.058877515703869,15.015358301192844,61.2380121431047,42.235441093094316,59.55861446633734,115.39488833503783,52.680084088794594,17.319707239615802,2.377325444361419,4.541190903329529e-05,0.0,719.1502502280607,291.954408251007,427.1958419770536,1641.2057479103985
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
8,2591.4064052597755,1058.5909665301153,21.468559451723863,42.57556301843518,35.80176634552967,22.4156301179557,44.101334206631805,32.11749807439404,36.83501814280053,73.5870824954631,19.338884569731132,101.99529455530988,107.476270163299,142.83803892931388,99.17665157304685,126.42460294252969,87.4135384105198,65.0252335334312,385.7823528456398,0.0,0.0,0.0,2.834454131331506,0.0,0.0,0.0,0.0,0.0,0.8336629798033841,1.000395575764061,12.671677293011438,6.358846210772166,9.452608726548052,0.0,29.1769002504382,25.77435427139387,64.74108557252735,40.47293725726159,107.14988985278377,42.29491356341358,20.05301051195432,1.240350606794687,2.1255255114445597,1058.5909665301153,672.8086136844755,385.7823528456398,2889.888637809905
9,958.602677546412,434.17813598179634,0.0026069758989022062,8.611279617306526,0.01745602501232583,38.16975789642644,10.947322886455547,0.01062540652924181,29.624078736585037,13.255771890985402,20.265090459546283,56.13730878051575,53.75270914871129,19.50987310188662,53.75155049275622,49.0789824289809,81.02256443116306,0.02115770303679347,182.4586674759911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05388599025544061,0.0,0.003910463848353309,0.07437784570469268,0.0,0.0013034879494511031,38.19111310239687,10.90502440471734,0.0,24.936470711174344,0.0,28.839951394499945,28.822159624971285,42.062236989624026,0.0,0.0,434.17813598179634,251.71946850580525,182.4586674759911,927.5497713080777
10,2692.620768880566,970.9051422045159,35.25381158173965,84.7989043721917,61.932001848253165,40.97031331829185,33.34814979889757,48.59340823852506,88.61024584943047,3.811413123457144,8.575460111234788,102.90261966297312,96.23285715768961,188.6555908238529,86.70435121637864,35.25370411241208,33.348024418015406,21.914286571172624,505.93647395258216,0.0,0.0,0.0,0.0,20.96149150286077,51.450933688840074,0.0,7.622360546494826,17.150311229613358,0.0,0.0,10.480745751430385,0.0,0.0001432924367575194,0.0,73.36582925286892,40.97018793740969,127.6746287115613,54.30931889377563,88.6108190191775,0.0002507617643256589,0.0,11.43354081974224,0.0,970.9051422045159,464.9686682519336,505.93647395258216,2911.763167790562
