OBJECTID,pop_total,male_18_19,male_20,male_21,male_22_24,male_25_29,male_30_34,female_18_19,female_20,female_21,female_22_24,female_25_29,female_30_34,male_35_39,male_40_44,male_45_49,male_50_54,male_55_59,male_60_61,male_62_64,female_35_39,female_40_44,female_45_49,female_50_54,female_55_59,female_60_61,female_62_64,male_65_66,male_67_69,male_70_74,male_75_79,male_80_84,male_85plus,female_65_66,female_67_69,female_70_74,female_75_79,female_80_84,female_85plus,edu_total_25plus,edu_bachelors,edu_masters,edu_professional,edu_doctorate,hhinc_total_hh,hhinc_lt10k,hhinc_10_15k,hhinc_15_20k,hhinc_20_25k,hhinc_25_30k,hhinc_30_35k,hhinc_35_40k,hhinc_40_45k,hhinc_45_50k,hhinc_50_60k,hhinc_60_75k,hhinc_75_100k,hhinc_100_125k,hhinc_125_150k,hhinc_150_200k,hhinc_200k_plus,rent_total_units,rent_lt100,rent_100_149,rent_150_199,rent_200_249,rent_250_299,rent_300_349,rent_350_399,rent_400_449,rent_450_499,rent_500_549,rent_550_599,rent_600_649,rent_650_699,rent_700_749,rent_750_799,rent_800_899,rent_900_999,rent_1000_1249,rent_1250_1499,rent_1500_1999,rent_2000_2499,rent_2500_2999,rent_3000_3499,rent_3500_plus,homeval_total_units,homeval_lt10k,homeval_10_15k,homeval_15_20k,homeval_20_25k,homeval_25_30k,homeval_30_35k,homeval_35_40k,homeval_40_50k,homeval_50_60k,homeval_60_70k,homeval_70_80k,homeval_80_90k,homeval_90_100k,homeval_100_125k,homeval_125_150k,homeval_150_175k,homeval_175_200k,homeval_200_250k,homeval_250_300k,homeval_300_400k,homeval_400_500k,homeval_500_750k,homeval_750k_1m,homeval_1m_1500k,homeval_1500k_2m,homeval_2m_plus,tenure_total,tenure_owner,tenure_renter,housing_total_units,housing_occupied,housing_vacant,yrbuilt_total,yrbuilt_owner_2014plus,yrbuilt_owner_2010_13,yrbuilt_owner_2000_09,yrbuilt_owner_1990_99,yrbuilt_owner_1980_89,yrbuilt_owner_1970_79,yrbuilt_owner_1960_69,yrbuilt_owner_1950_59,yrbuilt_owner_1940_49,yrbuilt_owner_pre1940,yrbuilt_renter_2014plus,yrbuilt_renter_2010_13,yrbuilt_renter_2000_09,yrbuilt_renter_1990_99,yrbuilt_renter_1980_89,yrbuilt_renter_1970_79,yrbuilt_renter_1960_69,yrbuilt_renter_1950_59,yrbuilt_renter_1940_49,yrbuilt_renter_pre1940,commute_total,commute_drive_alone,commute_carpool,commute_transit,commute_walk,commute_wfh,mobility_total,mobility_same_house,mobility_moved_same_county,mobility_moved_diff_county,mobility_moved_diff_state,mobility_moved_abroad,poverty_total_denom,poverty_below,pop_in_nsa,wtd_avg_hh_size
1,4036.494299223626,2.9953223453079727,31.93089545664288,0.0007779906067855281,31.987468170274262,85.58041373140168,163.4548567063609,0.013349844353331204,219.521254243628,21.978101094817273,21.008754694948646,235.1021273606377,164.15006112185566,17.512371255700025,51.42071304802082,110.76410166448065,124.49422426140595,104.70188221688485,7.002269900116786,22.969350793833193,179.63087083047043,137.62173694839265,64.45868438984114,173.77410160404406,138.76995538271825,131.83553544337167,52.8851948325037,10.814345261526594,6.225184927485019,39.991577037611684,45.6482432575581,31.868306826171604,9.978198713714344,135.4288833314272,57.82639566634521,241.73629303938475,61.82800470637427,55.84493287845805,5.832925806224959,2669.151742944322,613.6381817517145,129.2891689351888,0.0017665732457079588,0.0006206878971406342,1723.0982100261708,106.34687465969053,70.72342582804043,35.91810603151644,71.36549821097985,124.46461050489042,37.5088902292691,87.16650767135162,124.76445436243583,38.47921920811442,113.17504960725678,253.53516634774195,217.07645423460698,151.2078754126186,121.65624629037129,147.74129763754277,21.968533789743912,598.1405889536416,0.0,0.0,0.0,0.0,0.0,2.508625300286095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04755882050874242,12.972211069329452,212.2061898720304,74.74701229273883,95.57995057656831,153.666613678263,14.967205242146843,20.954087339005582,0.0,1124.9576210725293,11.977997111694334,5.9868820968587375,10.990530561716865,30.932224167103477,0.0,0.0,0.0,9.94107605357918,6.958753237505426,0.0,0.009406484393019195,11.483312008269552,0.009406484393019195,123.00270281183862,61.512098510262284,156.34937513946176,287.57929535051977,243.64479990617465,161.5603926577968,3.0186081330579957,0.0006012234614674163,0.00015913444229703983,0.0,0.0,0.0,0.0,1723.0982100261708,1124.9576210725293,598.1405889536416,1794.729347111487,1723.0982100261708,71.63113708531601,1723.0982100261708,1124.9576210725293,0.0,183.59771763700127,167.63269871204466,0.0,0.002005299359992818,25.94315575305453,157.68042971602753,461.42236011263566,94.18859317949465,34.49066066291096,598.1405889536416,0.0,153.6633071527076,14.9944840468866,57.70163361585872,58.03835383178168,97.81013743750536,83.09208023265364,72.79581248113709,2002.3152980056236,1268.6831586553558,56.47567170328908,304.7821594067899,44.90161572644053,322.22790101836733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4002.2704462254146,2.325210353646594
2,326.83605661502776,0.18118874199238208,0.0,0.0,0.0,0.29191519543217115,41.79071855375315,0.0,0.0,0.0,0.0,24.285730237745813,36.3825079173851,7.827804540937393,12.465865857771913,0.36573283105869714,18.389219436054596,6.435141173123376,6.883177173559342,7.866488198353534,6.963705503333734,5.408210636368055,3.3760621527720667,11.368473032464,13.960964477406797,0.046974859035062023,2.1947856506158274,0.0,1.9666220495883835,24.582775619854793,0.0,0.0,0.0,6.391521661162247,8.849799223147725,4.101011452873417,0.0,0.0,1.6561552791836698,253.85136271298083,72.82186240289522,58.01535046285731,2.4582775619854793,9.341454735544822,139.26404402545288,21.216585176172707,0.0,0.0,0.08052832977439203,5.899866148765151,0.18118874199238208,0.0,4.424899611573863,0.0,11.308076785133204,18.682909471089644,47.01932095559988,10.000877601638567,16.71628742150126,0.29191519543217115,3.441588586779671,45.15493982570054,0.0,0.0,0.0,0.07717298270045904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.424899611573863,0.0,0.0,0.0,3.0304614041569673,5.787364855722484,8.235576376486165,9.833110247941917,13.766354347118684,0.0,0.0,94.10910419975235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29191519543217115,7.926884445684328,20.991776922219195,14.25800985951578,30.97429728101704,7.374832685956438,10.324765760339014,0.0,1.9666220495883835,0.0,0.0,0.0,0.0,139.26404402545288,94.10910419975235,45.15493982570054,152.9078310383071,139.26404402545288,13.643787012854219,139.26404402545288,94.10910419975235,0.0,0.0,1.9666220495883835,3.933244099176767,0.0,0.0,0.0,11.051295567911419,9.509222089241472,67.6487203938343,45.15493982570054,0.0,0.0,0.0,0.0,0.0,3.1076343868574265,0.0,24.582775619854793,160.09653912772615,58.89622623583064,11.489265527125587,7.359636458057828,2.6562430393475265,70.84536864421686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.9544353654871,2.3503447768371513
3,11.741266034539429,0.0,0.0,0.048063782900049874,0.046962033206262584,0.07736254869194081,0.049997573249786785,0.0,0.05407175576255611,0.0,0.0,0.12334964798691384,0.047714889164827794,0.03668619122659362,4.269745217182643,0.009257552122333675,0.005960341777392914,0.03908080895170437,0.008623473209845068,0.030459904008716537,0.16475158293762276,0.0017754209549681022,0.07287636521940724,0.004438552387420255,3.7765134487875183,2.2048439914902156,0.008623473209845068,0.0,0.003297210344940761,0.0040581050399270905,0.00240949986745671,0.0022826840849589883,0.0,0.0016486051724703805,0.04666077055615382,0.1383497839688333,0.05497926241438626,0.0,0.0,11.185746904008823,3.87809409323502,0.012301130902278993,0.0022826840849589883,0.0,7.190890146073763,0.015300307399336521,0.0671312130929642,0.046784913973989754,2.279162961402211,0.09633356627998187,0.003297210344940761,0.0038044734749316475,0.06608770148756858,0.039051823606290524,0.010779341512306334,0.14664044091629852,4.34524512148581,0.03162104222554213,0.009257552122333675,0.024558950754361923,0.005833525994895192,6.927993153152769,0.0,0.0,0.0,0.0,0.0,0.06608770148756858,0.0,0.0,0.0,2.279162961402211,0.0,0.0,0.0,0.0,0.0010145262599817726,0.008290656947465221,0.024051687624371036,0.17505149623070543,4.293055806286374,0.07381865428573402,0.0,0.0,0.0,0.0035508419099362044,0.2628969929209943,0.0,0.0,0.0,0.02584690475368524,0.0020290525199635452,0.0,0.0,0.0,0.0,0.0,0.003297210344940761,0.0,0.04262246169057283,0.01410553720266094,0.0,0.0008877104774840511,0.13517938940639027,0.02358401684307235,0.007608946949863295,0.007735762732361017,0.0,0.0,0.0,0.0,0.0,0.0,7.190890146073763,0.2628969929209943,6.927993153152769,7.287627674577089,7.190890146073763,0.09673752850332501,7.190890146073763,0.2628969929209943,0.0,0.0,0.07820262808431154,0.048230191031239794,0.004945815517411142,0.0,0.0,0.017627393767183298,0.02102790501877182,0.09286305950207668,6.927993153152769,0.0,0.0,0.0,2.2025613074052566,3.478241449661182e-05,0.0,4.304271264967708,0.1360788573217993,10.996509208843907,8.621420963419975,0.07450517421753153,2.2983003871214422,0.0,0.0022826840849589883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.824286413808377,1.6291420653146251
4,542.4013912117773,52.717197849956754,0.0,0.0,31.044572067196754,0.0,71.46109041883027,0.0,0.0,0.0,0.0,0.0,35.14479856663784,0.0,31.630318709974052,8.78619964165946,0.5857466427772973,8.78619964165946,0.0,16.400905997764323,0.0,8.78619964165946,37.487785137747025,0.0,39.83077170885621,0.0,0.0,8.200452998882161,15.22941271220973,9.371946284436756,0.0,0.0,0.0,16.400905997764323,0.0,9.371946284436756,0.0,0.0,0.0,317.47468038529513,24.015612353869187,10.543439569991351,0.0,0.0,169.8665264054162,0.0,10.543439569991351,0.0,15.22941271220973,0.0,0.0,26.944345567755676,0.0,8.78619964165946,32.801811995528645,48.616971350515676,10.543439569991351,0.0,16.400905997764323,0.0,0.0,59.160410920507026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.543439569991351,0.0,48.616971350515676,0.0,0.0,0.0,0.0,110.70611548490918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.22941271220973,37.487785137747025,24.601358996646486,33.38755863830595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.8665264054162,110.70611548490918,59.160410920507026,199.15385854428106,169.8665264054162,29.287332138864862,169.8665264054162,110.70611548490918,0.0,0.0,0.0,0.0,8.200452998882161,0.0,26.944345567755676,50.95995792162486,24.601358996646486,0.0,59.160410920507026,0.0,0.0,0.0,0.0,0.0,50.37421127884757,0.0,8.78619964165946,173.38100626207998,138.82195433821946,24.015612353869187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.102716867101,3.19
5,413.21706915544536,2.999273565880491,0.01858912203173491,2.0637074362052537,17.89974602874054,3.7310786258453406,10.224244947462614,11.247564839961665,1.0504428401343617,0.07900376863487336,6.208367754475738,15.391139537597983,0.11426146084442243,30.207746807036806,8.832494266064344,16.69770275919729,9.540339225757718,1.2626551361990668,6.198676707989054,4.1811233808561346,20.446103742329825,6.221536222914149,15.328279736775286,17.296457412397547,4.017775017224891,5.803552966105912,3.9116923609533303,0.04254115981761287,0.09119293020316466,18.18536824734841,15.526557686227923,4.189258642129806,3.5883227990395574,7.51779137474771,10.352404103159467,12.883633256265655,9.775638940030605,9.996075981291696,4.480843314454419,276.03648874826774,87.13343474151125,23.31179064267621,0.17659665930148163,0.027883683047602366,150.60473632683878,20.028446118084364,5.762562529496352,12.084816671226015,0.19518578133321654,1.4684328640947475,1.050622449625516,3.801419133841809,5.7810971195171446,0.0010622621056483878,4.436434843259104,6.507137383155255,39.97921397360971,19.100828610760093,9.989461911928355,20.360274536224317,0.057740138577123165,17.349681868915788,0.0,0.0,0.0,0.0,0.3392514770791621,0.0,0.14406569574594555,0.0,0.0,0.0,0.0,0.0,0.16617640553755025,1.3302352317723398,0.0,0.0,0.21188830459373678,2.044509942266445,8.957345746086228,4.15529855545811,0.0009105103762700466,0.0,0.0,0.0,133.25505445792297,7.51779137474771,0.0,0.0,0.0,0.0,0.023236402539668636,0.0,0.0,0.0,0.0,0.0,0.0021245242112967757,0.019423756543315785,0.014623523687304423,6.930361078765052,13.41504360860592,3.15007669303424,44.3023158851489,16.514722801150157,40.72258572574655,0.1029331710322806,0.4886958271233202,0.051120085587271,0.0,0.0,0.0,150.60473632683878,133.25505445792297,17.349681868915788,175.39731569906223,150.60473632683878,24.792579372223482,150.60473632683878,133.25505445792297,0.0,0.0,12.006894017458684,0.0,28.460785819161327,0.027883683047602366,5.618711528802055,12.038096317555379,21.69649036451632,53.40619272738162,17.349681868915788,0.01858912203173491,0.0,0.09759289066660827,0.0,4.178534957997778,0.22771674488875265,1.563680372036569,8.89044394546072,169.9711353930234,98.9301606093087,15.078497921029086,9.329082915943985,4.864453242483813,41.55981308140077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.3477041672857,2.6572379007589775
6,1507.0123562848544,0.0,0.0,0.00260361611790893,67.07450271876152,80.34842223607112,81.19358165886936,33.91184363518622,0.35952187675859815,0.35952187675859815,31.002259493497945,73.01850267156105,156.58212472982646,165.67969582156138,58.52719090326967,35.165980820018746,16.092189296210133,62.97428015820809,10.13732850579837,21.2489827804813,68.34248507378601,41.53717629371555,70.93097025088659,23.2871134192923,37.15916817547546,0.14860412760832475,20.597500696187833,2.9036358906056843,15.041474313358757,18.67323828575351,6.76813176102959,7.515476647250285,0.08869412104759228,3.6301739690892925,12.17697201740032,6.015239051871776,12.226848989822644,28.360023375757244,0.0,1136.3712060418145,332.2680634525879,199.8162923617784,41.44545263633241,107.55914055230636,632.1836095672189,19.093543396871496,14.195959145449331,16.562339286113293,16.690316353107008,37.8945724841574,37.49624814810898,22.31382551745004,6.286113413737493,27.598446295509994,108.05658570097859,48.315328624136455,45.324922174603124,45.33890856545277,53.90235258112828,60.64270027853332,72.47144760188132,324.77534090244114,0.0,0.0,0.0,3.468336061273641,4.624448081698189,0.0,0.2501021751364161,7.597307562789881,0.06252554378410402,6.7414986476726435,0.0,0.0,0.0,18.82818573342911,5.863888046643789,0.40641603459667613,1.1566115514239135,71.87492945900394,57.61029067244045,107.32385234287841,36.11289651786927,1.0372444619215502,6.054921204439372e-05,1.8167474606671454,307.4082686647778,0.008659312914156699,0.0,0.0,1.6548049168317542,0.0,4.541190903329529e-05,0.0,9.852959561983095,0.0,0.0,0.14849816648724706,0.008659312914156699,0.0,2.3147889540712057,21.990532831797324,25.645204543019805,6.741604608793721,69.20863141085687,65.0955091576057,39.18542674136612,44.525008501828815,21.027935232398733,0.0,0.0,0.0,0.0,632.1836095672189,307.4082686647778,324.77534090244114,714.5165819836743,632.1836095672189,82.33297241645538,632.1836095672189,307.4082686647778,0.0,0.00022705954516647647,0.0,6.054921204439372e-05,5.943313610903548,10.697964499626385,2.2331286273096542,1.1561877069396027,2.6453692204359203,284.7320173908054,324.77534090244114,0.0,0.0,0.0,0.00010596112107768901,2.210075118268904,6.084071770932837,10.55364258603527,44.791024258393456,940.6678290429054,477.28535601718215,94.49448515174154,95.85378992630565,71.97652827440845,118.29071632156071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1641.2057479103985,2.3675325646621386
7,189.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,67.0,67.0,67.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.82
8,2410.269805947723,0.0,0.0,0.0,52.30193085153111,100.31495140938335,275.88136880682015,10.837618737443993,9.337025373797902,7.2981793049379515,96.76864422673198,171.47258078928724,191.82081270315064,124.47658670309318,76.60900634089252,31.28741567288686,44.47930765661541,110.26862080577948,4.9898985032815055,16.458086201266106,146.64928974274613,103.3177126031128,38.30958265365839,43.48700014823252,70.0356459649291,21.485365429724375,43.045649607223964,35.95714069380279,0.0,34.5032676466996,12.26055745860331,31.280952852570863,6.880574957501898,55.998418125696325,21.814273875607192,24.80760086020613,27.442145120892324,19.412955306615324,18.76707201978212,1903.5138406600615,567.2074892039074,530.1220530665463,72.8602449431525,49.97097686339825,1221.5130597820034,66.66547125488754,15.978228344478714,49.44897682309265,31.966627728624694,14.367545953364013,15.080341398651443,15.59434445697365,6.335838646505719,93.86676516538652,27.114184240195286,85.83512715023161,119.31290121905882,164.27263781912276,149.81146398112037,131.50208373028548,234.36052187002412,432.9032381068536,0.0,0.0,0.0,0.0,0.0,1.3338607676854146,0.0,0.0,0.0,0.0,0.0,8.720481512389448,0.0,16.93344236061803,2.167523747488799,10.062094052757056,3.001186727292183,38.60572002785614,56.989358031534785,97.54127934445701,121.09297388794403,46.17583353469945,23.374282787837743,1.7364908495125617,788.6098216751498,0.0,0.0,20.116436332831917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5005933636460915,2.150051319701714,49.9107095928506,33.2646314087894,10.872989039865804,26.261390465531147,135.44466325065358,138.71444775252488,189.31354913354926,134.7570828619888,44.68045649469183,1.6228206585247669,0.0,0.0,0.0,1221.5130597820034,788.6098216751498,432.9032381068536,1352.8117959905326,1221.5130597820034,131.29873620852922,1221.5130597820034,788.6098216751498,0.0,14.074929792193782,1.8429011311728976,0.0,23.784057936406544,25.63185939994001,7.8580196628943675,45.6801177367489,44.75534392893758,624.9825920868557,432.9032381068536,2.360466412399661,68.25396752262802,1.7364908495125617,1.000395575764061,19.83867926602383,25.447508009672216,15.494487978322102,43.138107631125195,1615.6661648397555,929.4447343095627,62.34900207501521,126.52360276504447,72.45554607493617,356.4205536452126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2889.888637809905,1.9672178021161262
9,646.2732022988523,0.0,0.0,0.0,11.683954719340008,17.18161032135186,78.70906323116516,7.789303146226672,0.0,0.0,0.00043449598315036767,22.603729421703953,53.028301515739415,51.430234006506744,8.576054388546044,11.683954719340008,45.96572331439475,0.01344680969715603,0.0013034879494511031,0.0,40.52954327873066,29.602538259537788,6.231442516981337,35.83803607236186,13.255262158282497,0.01344680969715603,39.72761852567177,14.800834633785744,13.257938729456027,14.02074566320801,0.01966894401051829,14.023062975118144,0.07665471853238734,0.0052139517978044125,34.31992526134021,14.025090623039512,0.02924008749663529,0.0,0.04275649246841987,559.0124409179111,170.70651001576564,214.22906231127408,13.243842996506709,45.19589484963774,329.0776690321117,6.245648284287724,0.04250162611696724,0.014675060926852232,15.578606292453344,0.03567100763388322,0.0033311358708194854,14.076334839758736,7.7955309219851605,10.170368497781556,37.42480104458749,13.244132660495476,61.556692997309945,0.007096767724789338,22.620617401628998,93.5122038939708,46.74945659957914,62.51095380255535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03567100763388322,0.0,0.055403905473903725,0.0011586559550676471,0.018440692780822086,0.041742668507735683,31.959131696520437,0.0017379839326014707,18.708643352607467,0.005069119803420956,0.0,11.683954719340008,0.0,266.56671522955634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010138239606841911,29.600365779622035,13.267805178376037,59.219270054525154,35.875699930279794,53.757801783261776,43.643126854942885,31.201631824587952,0.0,0.0,0.0,0.0,329.0776690321117,266.56671522955634,62.51095380255535,370.4037321995814,329.0776690321117,41.326063167469776,329.0776690321117,266.56671522955634,0.0,26.492958257195596,0.0,0.0011586559550676471,13.241815348585341,0.0023173119101352942,13.243842996506709,12.476644073429103,14.02074566320801,187.08723292276636,62.51095380255535,0.0,11.683954719340008,0.0,10.126094090094673,0.0,7.836404598526595,12.544533635578729,14.05175853227456,438.82005417928053,292.20171847074744,18.707559933372156,0.04467410603271908,38.9614221436646,88.90163805358151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927.5497713080777,1.9594434161956324
10,2301.01667607268,0.001612039913522093,18.103106297925212,0.0,13.340080268759465,68.60124491845343,60.02827451330731,0.0,0.0,0.0,0.0,102.90186737768015,148.63710534992478,145.77764545171354,12.387303112002204,15.244989766308572,38.111820644028725,280.1220187570038,100.99627724105645,32.395533846131656,80.98758080650752,39.0648664741049,82.89431728262528,26.67826191273189,73.36643824572515,58.12049916702305,0.0,11.433791581506565,0.000465700419461938,0.0002865848735150388,43.82857314234525,0.0,19.055901366237066,18.103607821453863,64.79006464520602,75.27109698150993,42.8757780740334,11.43354081974224,50.49813862052822,1703.607290204184,302.9895660969077,179.1257952506111,0.0,0.0,978.5257295071057,26.67826191273189,26.678584320714595,0.0,32.39549802302247,0.0,40.97018793740969,152.44803486140788,49.545343552216366,12.386604561373012,178.17368082137386,92.42260828528111,130.5332467667066,18.103106297925212,0.0005015235286513178,199.13416927717734,19.055901366237066,613.6018330598475,0.0,0.0,0.0,0.0,8.575155614806679,0.0,0.0,34.300622459226716,0.0,23.819876707796332,0.0,0.0,0.0,0.0,11.43354081974224,0.0,72.41242519170085,16.197838569284208,39.06459780078598,351.5828668661052,17.150311229613358,0.0,0.0,20.96149150286077,364.9238964472582,30.489442185979303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.67826191273189,0.0,15.244721092989652,42.8757780740334,20.96195720328023,81.94152221431344,57.168456384004166,89.5637573799261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,978.5257295071057,364.9238964472582,613.6018330598475,1148.1241472443453,978.5257295071057,169.5984177372396,978.5257295071057,364.9238964472582,0.0,0.0,0.0,0.0,0.0002507617643256589,0.0,0.0008239315113557365,144.82640868865144,130.53367664401688,89.5627364213142,613.6018330598475,0.0,35.253417527538566,20.96149150286077,20.96149150286077,0.0,130.53446475241904,0.0,142.9195289200969,1187.187956936729,870.8589374754728,31.44297162802954,165.78634188626245,51.450933688840074,34.300622459226716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2911.763167790562,2.3200046182589666
